Title,wlyyy,nocor,xnmdg,xnmdg3,ewmdv,ewmdv5,Field17
190. Mieux,MICHELIN,93 reviews,"French, European",$$ - $$$,“Wonderful would recommend”,"“cosy restaurant, nice food, friendly staff”",4.5
191. Rooster par Frederic Duca,MICHELIN,90 reviews,"French, Filipino",$$$$,“Might be exceptional”,“Delicious Experience”,4.5
192. Tosca,MICHELIN,121 reviews,Italian,$$$$,“Did a lunch there and we took”,“Outsanding Italian restaurant”,4.5
193. Bistrot Marloe Paris,MICHELIN,220 reviews,"French, European",$$$$,“Very good restaurant”,“An excellent dinner experience”,4.5
194. Le Restaurant ERH,MICHELIN,135 reviews,French,$$$$,“Magnificent food”,“Fabulous food”,4.5
195. LiLi,MICHELIN,507 reviews,"Chinese, Asian",$$$$,“Best Chinese restaurant in Paris”,“Enjoyable - but issues”,4.0
196. Brasserie du Louvre - Bocuse,MICHELIN,"1,092 reviews",French,$$$$,“À Nice Parisian restaurant”,“Enjoyable”,4.0
197. L'Ardoise,MICHELIN,"1,094 reviews","French, European",$$ - $$$,“Excellent Experience”,"“Enjoyable food, lively venue”",4.0
198. A Noste,MICHELIN,930 reviews,Open Now,"French, European",“Fancy something a bit different?”,“Fair enough”,4.0
199. Les Cartes Postales,MICHELIN,140 reviews,French,$$$$,“MUST eat when you’re in Paris”,“Intimate space and amazing food.”,4.5
200. Numero 41,MICHELIN,255 reviews,"Fusion, Gastropub",$$ - $$$,“Good restaurant in the 16th”,“One of the best around”,4.0
201. Gaya,MICHELIN,337 reviews,"French, European",$$$$,“Gaya”,"“New location, new look, but it is still...”",4.0
202. Etsi,MICHELIN,157 reviews,"Mediterranean, Greek",$$ - $$$,“Loved it”,“A very good Greek hole-in-the-wall”,4.5
203. FIEF - Fait Ici En France,MICHELIN,78 reviews,"French, Healthy",$$$$,“A tester !”,“Très bon”,4.5
204. Au Bascou,MICHELIN,349 reviews,"French, European",$$ - $$$,“Pays basque in Paris!”,“HARE ROYAL =STUNNING”,4.5
205. Abri,MICHELIN,377 reviews,Open Now,Gastropub,“Excellent seven course tasting”,“Japan-inspired French cuisine in an...”,4.5
Sushi Man,,34 reviews,"Japanese, Sushi",$$ - $$$,“Wonderful service and food”,“Loved it”,4.0
206. Automne,MICHELIN,123 reviews,French,$$$$,“Great experience!”,“Understated bistrot ambiance with...”,4.5
207. le Richer,MICHELIN,709 reviews,Open Now,"French, European",“Amazing food experience in Paris”,“One of the better ones!”,4.0
208. Chez Les Anges,MICHELIN,411 reviews,"French, European",$$$$,"“Delicious and friendly service, pleasant...”",“The revival of this old institution in...”,4.0
209. Boulom,MICHELIN,329 reviews,French,$$ - $$$,“Very good French restaurant”,“Cream Brûlée and People Watch”,4.0
210. Restaurant Belle Maison,MICHELIN,193 reviews,"French, Seafood",$$ - $$$,“Last night before lockdown”,“Best fish and desserts  in town”,4.5
For The Love of Food - Marais,,16 reviews,"Fusion, French",$$ - $$$,“Atelier with the  Chef”,“A tester impérativement”,5.0
La Belle Poule,,66 reviews,Open Now,"Wine Bar, French",“Nice Evening”,“Ok but nothing special”,3.5
211. La Regalade Saint-Honore,MICHELIN,961 reviews,"French, European",$$ - $$$,"“Lovely Cuisine, Strange Table”",“Great value and neighborhood restaurant”,4.0
212. Le Chardenoux,MICHELIN,"1,423 reviews","French, Healthy",$$ - $$$,“Beautiful interior and good fish”,“Amazing little bistro.”,4.0
213. Itacoa,MICHELIN,149 reviews,"Cafe, Deli",$$ - $$$,“Great place”,“Wonderful Bib Gourmand Restaurant”,4.5
214. Le Cotte Roti,MICHELIN,353 reviews,"French, European",$$$$,“Diner time in Paris”,“Good cooking but expensive”,4.0
215. Les Cocottes - Tour Eiffel - Paris,MICHELIN,"2,392 reviews",Open Now,"French, European",“Very pleasantly surprised at the...”,"“Excellent quality, reasonably priced and...”",4.0
216. Ida,MICHELIN,424 reviews,"Northern-Italian, Mediterranean",$$$$,“Great dinner”,“A relaxed spot with an excellent menu”,4.0
217. Gabia,MICHELIN,71 reviews,"French, European",$$$$,“Best dinner in Paris”,"“Big surprice, excellent food, atmosphere...”",5.0
218. L'Entredgeu,MICHELIN,366 reviews,"French, European",$$ - $$$,"“Very good, authentic bistro meal”","“A ""bistrot de quartier"" reproducing...”",4.0
219. Kokoro Restaurant,MICHELIN,206 reviews,"French, European",$$ - $$$,“Best restaurant”,“Happy reunion”,4.5
220. Biondi,MICHELIN,273 reviews,"Latin, Argentinean",$$ - $$$,“Argentinean with a French twist”,"“Very good place, a bit expensive”",4.0
Cafe Coco,,16 reviews,Open Now,"French, African",,,3.5
221. Sormani,MICHELIN,218 reviews,"Italian, European",$$$$,“Wonderful time”,“Outstanding Lunch”,4.5
222. Bistrot Belhara,MICHELIN,374 reviews,"French, European",$$ - $$$,“Better Than The First Time.”,“Good French food”,4.0
223. Les Fables de La Fontaine,MICHELIN,"1,166 reviews","French, European",$$$$,“Tasty fine dining”,“Fine elegant bistrot”,4.0
224. Restaurant Lasserre,MICHELIN,168 reviews,"French, European",$$$$,“Top place for business dinner”,“Wow! What a place”,4.5
225. La Cagouille,MICHELIN,457 reviews,"French, Seafood",$$ - $$$,“good fish restaurant”,“Good seafood”,4.0
226. Bistrot Mee,MICHELIN,279 reviews,"Asian, Korean",$$ - $$$,“Bringing back memories”,“Excellent food at Bistrot Mee”,4.0
227. L'Ecailler du Bistrot,MICHELIN,395 reviews,"French, Seafood",$$ - $$$,“Delicious dinner”,“Nice and light lunch”,4.0
228. Le Grand Vefour,MICHELIN,"1,109 reviews","French, European",$$$$,“Truly Excellent Meal”,“At least 6 Stars! ******”,4.5
229. La Rotisserie d'Argent,MICHELIN,713 reviews,"French, European",$$ - $$$,“A nice surprise ~ superb poet roti”,“Nice place for lunch”,4.0
230. Papillon,MICHELIN,367 reviews,Open Now,"French, European",“OK but was expecting more”,“A must!”,4.0
231. Kushikatsu Bon,MICHELIN,163 reviews,"Japanese, Asian",$$$$,“Experience eating Japanese”,"“Excellent food, drink and service in a...”",4.5
232. Le Chiberta,MICHELIN,485 reviews,"French, European",$$$$,“Decent restaurant”,“Menu Anniversaire - take away”,4.0
233. Dessirier,MICHELIN,503 reviews,"French, Seafood",$$$$,“Try and enjoy it!”,“Excellent sea food.”,4.0
234. Restaurant Le Gaigne,MICHELIN,170 reviews,"French, European",$$$$,“Hidden gem found!”,“Brilliant 50th Wedding Anniversary Meal”,4.5
235. Pho Tai,MICHELIN,573 reviews,"Asian, Vietnamese",$,“Cosy restaurant”,“Great pho”,4.0
236. Le Jules Verne,MICHELIN,518 reviews,French,$$$$,"“Food, service, atmosphere perfects from...”","“Ok, so why not 5 of 5?”",4.0
237. Jantchi,MICHELIN,537 reviews,"Asian, Korean",$$ - $$$,“Good Bibimbap lunch!”,“unexpectedly very good”,4.0
238. Lucas Carton,MICHELIN,966 reviews,"French, European",$$$$,“Delicious but expensive”,“a simple bistro with view on la Madeleine...”,4.0
239. Le Bon Saint Pourcain,MICHELIN,237 reviews,"French, European",$$ - $$$,“Culinary excellence in the heat of St...”,"“Perfect dinner. Great food, ambiance and...”",4.5
240. La Condesa Paris,MICHELIN,127 reviews,"French, European",$$$$,“Amazing Dinner Experience”,“Lovely find”,4.5
241. Restaurant Montee,MICHELIN,104 reviews,"French, European",$$$$,“Unique experience”,“What an experience!”,4.5
242. Comice,MICHELIN,113 reviews,"French, European",$$$$,"“Food and service were great, owner was...”",“Wonderful find”,4.5
243. Comme Chez Maman,MICHELIN,518 reviews,"French, European",$$ - $$$,“Great classics with a twist”,"“Cosy local restaurant in the 17th, good...”",4.0
244. Le Servan,MICHELIN,343 reviews,Open Now,"French, European",“Worth a visit”,"“Pricey, casual, busy, but very high...”",4.0
245. Nakatani,MICHELIN,171 reviews,"French, European",$$$$,“Perfect food and perfect peace”,“A Truly Beautiful Evening !”,4.5
246. Spoon,MICHELIN,409 reviews,Indian,$$ - $$$,“Good”,“Good”,4.0
247. Auberge Nicolas Flamel,MICHELIN,41 reviews,"French, Healthy",$$$$,“Chef Gregory Garimbay - Outstanding!”,“Hidden Treasure”,5.0
248. Montcalm,MICHELIN,93 reviews,"French, Brew Pub",$$ - $$$,“Creative locally sourced dishes done right”,“Great little restaurant”,4.5
249. L'Os a Moelle,MICHELIN,252 reviews,"French, European",$$ - $$$,“Fine cuisine meets casual eatery”,“We recommend it”,4.0
250. Capitaine,MICHELIN,103 reviews,French,$$ - $$$,“Brilliant food”,“Perfection - hate to tell more about it...”,4.5
251. Jouvence,MICHELIN,204 reviews,"French, European",$$ - $$$,“What a great surprise”,“Wow!”,4.5
252. Gare Au Gorille,MICHELIN,289 reviews,"French, European",$$$$,“Lovely”,“Delightful”,4.0
253. Laurent,MICHELIN,449 reviews,"French, European",$$$$,“Authentic restaurant”,“Nice classic French resto”,4.0
254. Amarante,MICHELIN,175 reviews,French,$$ - $$$,“Traditional charm”,“So good I came back... alone.”,4.5
255. Osteria Ferrara,MICHELIN,180 reviews,"Italian, Mediterranean",$$ - $$$,"“Rather good, if not brilliant”",“Very good lunch”,4.5
256. Baieta,MICHELIN,213 reviews,"French, Mediterranean",$$$$,“Worth a visit”,“Worth a visit”,4.0
257. Restaurant Le Dali,MICHELIN,820 reviews,"French, European",$$$$,“Lovely Tea Time”,“Refreshing and lovely afternoon tea.”,4.0
258. Nous 4,MICHELIN,112 reviews,"French, European",$$ - $$$,“Very Good Spot near Aligre Market”,“Outstanding dining experience”,4.5
259. Restaurant A.T,MICHELIN,211 reviews,"European, Fusion",$$$$,“Lunch in Paris”,“Exquisite experience”,4.5
260. Grand Coeur,MICHELIN,590 reviews,"French, European",$$ - $$$,"“Cute decor, nice ambiance and good food”",“Amazing Location but the quality..”,4.0
Cafe El Sur,,196 reviews,Open Now,"Steakhouse, Argentinean",“Extremely Good”,“Yummy provoleta”,3.5
261. Abri Soba,MICHELIN,140 reviews,"Japanese, Asian",$$ - $$$,“must go”,“Wonderful surprise”,4.5
262. Mamagoto,MICHELIN,197 reviews,"French, European",$$ - $$$,"“Top Japanse twist to French food, must go...”",“Excellent french food with a hint of...”,4.5
263. Lao Lane Xang,MICHELIN,784 reviews,"Asian, Thai",$$ - $$$,“Very very good”,"“Lao Lane Xang is very excelLANG, but you...”",4.0
264. Bouillon 47,MICHELIN,76 reviews,French,$$$$,“Bistro comfort food with elegance”,“Very friendly chef and excellent cuisine”,4.5
265. Les Caves Petrissans,MICHELIN,180 reviews,"French, European",$$ - $$$,“Great Restaurant with wine shop”,“Un monument parisien”,4.5
266. Le Bistrot du Maquis,MICHELIN,193 reviews,"French, European",$$ - $$$,“One of the BEST bistros in Paris.”,“Wonderful intimate restaurant”,4.5
267. L'Ambroisie,MICHELIN,535 reviews,"French, European",$$$$,“Great experience”,“An elegant restaurant serving classical...”,4.0
268. Dominique Bouchet,MICHELIN,225 reviews,"European, Gastropub",$$$$,“Nice resturant with good food”,“Unique experience”,4.5
269. Agape,MICHELIN,473 reviews,"French, European",$$$$,“the calm restaurant which I could feel...”,“Worth trying once (if you can afford it)”,4.0
270. Les Peres Siffleurs,MICHELIN,75 reviews,French,$$ - $$$,“Deserves a star”,“AMAZING: a definite 10”,4.5
Om Shiva,,39 reviews,Indian,$$ - $$$,“10/10 From Us”,“Delicious Authentic Indian tasty Food”,4.5
271. Jacques Faussat,MICHELIN,266 reviews,French,$$$$,“Very good experience”,“A gem with creative and inventive...”,4.0
272. Aux Plumes,MICHELIN,119 reviews,"French, European",$$ - $$$,“Interesting flavours and very good service”,“Well worth seeking out”,4.5
273. Au Petit Marguery,MICHELIN,851 reviews,"French, European",$$ - $$$,“Group work dinner”,“Miam miam!”,4.0
274. Toyo,MICHELIN,200 reviews,"Japanese, Asian",$$$$,“Japanese Dinner”,“Great French cuisine provided by Japanese...”,4.5
275. Les Delices d'Aphrodite,MICHELIN,400 reviews,"Mediterranean, European",$$ - $$$,“Very good hellenic cuisine”,"“Tasty food, friendly service”",4.0
276. Chez Michel,MICHELIN,436 reviews,"French, European",$$ - $$$,“Nice germ close to the Gare du Nord”,"“Good game dishes, but nothing really...”",4.0
277. L'Atelier de Joel Robuchon Etoile,MICHELIN,"1,517 reviews","French, European",$$$$,“90/100”,“Tasty.. Good except for one”,4.0
278. Lazare,MICHELIN,"1,783 reviews",Open Now,"French, European",“Friendly and professional service”,"“Nice, frankly good and descent portions”",4.0
279. Pertinence,MICHELIN,105 reviews,"French, Asian",$$$$,“Amazing service and incredible food!”,“Wonderful!!”,4.5
280. Le Garde Temps,MICHELIN,306 reviews,"French, European",$$ - $$$,"“Cosy, contemporary and tasty”",“Best meal of our trip”,4.0
Les Jardins Contini,,369 reviews,"Italian, Pizza",$$ - $$$,“Fantastic food-even better service”,“Amazing staff and food”,4.0
281. Copenhague,MICHELIN,191 reviews,"Scandinavian, Danish",$$$$,“One of the best in town!”,“Very Nice fine cuisine expérience”,4.5
282. Mori Venice Bar,MICHELIN,429 reviews,"Italian, European",$$$$,“amazing place water overpriced”,“Excellent Italian restaurant”,4.0
283. TAVLINE,MICHELIN,246 reviews,"Middle Eastern, Israeli",$$ - $$$,“Nice food and affordable places”,“Excellent lunch; eager to return for...”,4.0
284. Okuda,MICHELIN,132 reviews,"Japanese, Asian",$$$$,“sushi is 5 Star but Overpriced”,“Truly Japan is there.Awesome place”,4.5
285. Fanfan,MICHELIN,100 reviews,"French, European",$$ - $$$,“Good quality price ratio”,“Exquisite dishes and beautiful”,4.5
Les Cedres du Liban,,918 reviews,"Lebanese, Mediterranean",$$ - $$$,“Very good place.”,“Famtastic food and service”,4.5
286. Restaurant Liza,MICHELIN,662 reviews,"Lebanese, Mediterranean",$$ - $$$,“Good food nice setting”,"“Nice place, good experience”",4.0
287. Dassai Joel Robuchon,MICHELIN,77 reviews,"Japanese, French",$$$$,“Amazing amazing amazing!”,“Delicious take on Japanese cuisine!”,4.5
288. Drouant,MICHELIN,827 reviews,Open Now,"French, European",“Very nice restaurant.”,“Modern French Cuisine in a pleasant...”,4.0
289. La Poule au Pot,MICHELIN,959 reviews,French,$$ - $$$,“The Lamb Was Good”,“Great execution...”,4.0
290. restaurant ES,MICHELIN,141 reviews,Open Now,"French, European",“A very good  expérience”,“Discovery of the year!”,4.5
291. Clover Grill,MICHELIN,462 reviews,"Grill, French",$$$$,“Food is amazing”,“Good but slightly overpriced”,4.0
292. Restaurant Le Pergolese,MICHELIN,277 reviews,"French, European",$$$$,“good option for lunch”,“A trip in those special times...”,4.5
293. Baltard au Louvre,MICHELIN,287 reviews,Open Now,"French, European","“Good food, nice place, but watch out for...”",“Great food”,4.0
294. Atelier Maitre Albert,MICHELIN,860 reviews,"French, European",$$$$,“Excellent food at reasonable price”,“Worth the try”,4.0
295. Restaurant Petrossian,MICHELIN,215 reviews,"French, Gastropub",$$$$,“The place for Caviar”,"“excellent, but not sure I would go back”",4.0
296. Le Bistrot d'a Cote Flaubert,MICHELIN,243 reviews,"French, European",$$ - $$$,“Great birthday dinner”,“Was here during the holiday”,4.0
297. Anona,MICHELIN,77 reviews,"French, Healthy",$$$$,“Lovely dinner”,“Perfect little restaurant”,4.5
298. Mova,MICHELIN,35 reviews,"French, European",$$$$,“Remarkable restaurant”,“Very good restaurant at affordable prices.”,5.0
299. Taokan,MICHELIN,304 reviews,"Chinese, Asian",$$$$,“Great place”,“NICE RESTAURANT- NICE DEOR....THE STAFF...”,4.0
300. Timgad,MICHELIN,414 reviews,Open Now,"Moroccan, Mediterranean",“Lovely chicken tagine!”,“Dinner”,4.0
The Cambridge Public House,,14 reviews,Open Now,"British, Pub",“Cool Bar!”,“Great for drinks with friends”,5.0
301. Aux Lyonnais,MICHELIN,828 reviews,"French, European",$$$$,“Real Lyonnaise restaurant in Paris”,“Good traditional food”,4.0
302. Quedubon,MICHELIN,189 reviews,"French, European",$$ - $$$,“The best brain ever!”,“Superb food m wine”,4.0
303. Benoit,MICHELIN,"1,716 reviews","French, European",$$$$,“Classic French bistro serving”,“Very elegant”,4.0
304. Le Chateaubriand,MICHELIN,996 reviews,"French, European",$$$$,“Very creative”,“Great place - busy place”,4.0
305. Istr,MICHELIN,176 reviews,"French, Seafood",$$ - $$$,“IS TRemendous”,“Fresh oysters and best lobster roll ever!”,4.5
306. Aux Pres,MICHELIN,"1,545 reviews","French, European",$$ - $$$,“Funky Restaurant St Germain”,“Mixed Bag”,4.0
307. La Mediterranee,MICHELIN,637 reviews,"French, Seafood",$$$$,“Une belle surprise!”,"“Accommodating staff, perfect table”",4.0
308. Pantagruel,MICHELIN,59 reviews,"French, European",$$$$,“Not really Pantagruelesque”,“Extraordinary”,4.5
309. Bistrot Paul Bert,MICHELIN,"1,269 reviews",French,$$ - $$$,“Notable Bistro with Very Good Bistro...”,“Joyful meal 😉”,4.0
310. Vantre,MICHELIN,150 reviews,"French, European",$$ - $$$,“Great place for lunch in Paris”,"“Hidden tiny place but great food, service...”",4.5
311. Le V,MICHELIN,162 reviews,"French, European",$$$$,“Beautifully presented cuisine”,“Excellent”,4.5
312. Shabour,MICHELIN,56 reviews,Mediterranean,$$$$,“Perfection!”,“Special experience”,4.5
313. Breizh Cafe Odeon,MICHELIN,293 reviews,Open Now,"French, European",“Modern take on crepes”,“Nice (but quick) lunch”,4.0
314. Solstice,MICHELIN,45 reviews,"French, Healthy",$$$$,“Worth the cab ride”,“Refined”,5.0
315. Affinite,MICHELIN,65 reviews,French,$$$$,“Amazing!”,“Excellent restaurant”,4.5
316. Le Baratin,MICHELIN,427 reviews,"French, European",$$ - $$$,“Great food and very lively atmosphere”,“Nice atmosphere!”,4.0
317. Quinsou,MICHELIN,186 reviews,French,$$ - $$$,“Indulge yourself”,“Lovely small restaurant serving...”,4.0
318. Les Resistants,MICHELIN,180 reviews,"French, European",$$ - $$$,"“Good, interesting meal”",“Beautiful place and great food”,4.0
319. Il Goto,MICHELIN,193 reviews,Open Now,"Italian, Mediterranean",“Michelin Italian restaurant”,“Cosy neighborhood restaurant!”,4.0
320. LouLou Paris Restaurant,MICHELIN,972 reviews,Italian,$$$$,“DINNER in the heart of PALACE DU...”,“My Visit”,4.0
321. Chantoiseau,MICHELIN,47 reviews,"French, European",$$$$,“Just great”,“Tres Bien”,4.5
322. Le Mermoz,MICHELIN,72 reviews,"French, International",$$ - $$$,“fun date night”,“Need a sixth star for this one”,4.5
323. Restaurant Sadarnac,MICHELIN,85 reviews,French,$$$$,“Delicious food.”,“Female chef on the way up”,4.5
324. Marso&co,MICHELIN,59 reviews,"French, Mediterranean",$$ - $$$,“Nice friendly place”,"“Quiet, excellent”",4.5
325. Claude Colliot,MICHELIN,287 reviews,"French, European",$$$$,“Very solid”,"“Cozy, crowded setting with good veggie...”",4.0
Restaurant Japonais La Marina,,236 reviews,"Japanese, Sushi",$$ - $$$,“Excellent food and service”,“The service and the quality of the dishes...”,4.5
326. Dilia,MICHELIN,144 reviews,"Italian, French",$$ - $$$,“My last night in Paris ❤️”,“A hidden gem!”,4.5
327. Divellec,MICHELIN,342 reviews,"French, Seafood",$$$$,“Fish fish fish”,“Chic seafood establishment nearby to Les...”,4.0
328. Le Grand Bain,MICHELIN,101 reviews,"French, European",$$ - $$$,"“Food and atmosphere, muah! Definitely...”",“Amazing”,4.5
329. Monsieur Bleu,MICHELIN,"1,807 reviews","French, European",$$$$,“Great location”,“Great place”,4.0
330. Plume,MICHELIN,141 reviews,"French, European",$$ - $$$,“Very Nice 7th Dinner”,“Price of author”,4.0
331. Restaurant Piero TT,MICHELIN,81 reviews,"Italian, Mediterranean",$$$$,“Cosy Italian in the the heart of Paris”,“Great Italian Meal”,4.5
332. Le Vitis,MICHELIN,162 reviews,"French, European",$$ - $$$,“A hidden worthy restaurant”,“Worth going out of the way to eat here”,4.0
333. Carte Blanche,MICHELIN,199 reviews,"French, European",$$$$,“A Friendly Stop”,“Lovely food and attentive service”,4.0
334. Odette L'Auberge Urbaine,MICHELIN,168 reviews,"French, European",$$$$,"“Modern, gourmet cuisine”",“Worth a visit!”,4.0
335. Le Bar des Pres,MICHELIN,197 reviews,"Japanese, Sushi",$$$$,“Very good!”,“Exquisite Japanese Fare”,4.0
336. Restaurant Kunitoraya,MICHELIN,195 reviews,Japanese,$$$$,“Excellent japanese food”,"“great food, great service”",4.0
337. Yen,MICHELIN,258 reviews,"Japanese, Asian",$$$$,"“Real Jap resto, run by jap personnel...”",“Nice authentic japanese food”,4.0
338. Penati al Baretto,MICHELIN,323 reviews,"Italian, Ligurian",$$$$,"“Good food, very nice service, but no...”",“An attractive Italian restaurant”,4.0
339. Apicius,MICHELIN,253 reviews,"French, European",$$$$,“Long weekend Paris”,“A Beautiful Spot”,4.0
340. Galanga,MICHELIN,29 reviews,"Healthy, French",$$$$,“Great experience!”,“Hidden gem with Michelin star rating”,5.0
341. Wadja,MICHELIN,172 reviews,Open Now,"French, European",“A Wonderful Neighborhood Restaurant”,“Very nice”,4.0
342. L'Atelier De Joel Robuchon Saint-Germain,MICHELIN,"2,654 reviews",Open Now,"French, European",“Nice and black and red”,“I thought the restaurant was”,4.0
343. Lao Siam,MICHELIN,477 reviews,"Asian, Thai",$$ - $$$,“Excellent food but unfriendly service”,“Compact but delicious Thai food”,4.0
344. Mokko,MICHELIN,54 reviews,French,$$ - $$$,“Extremely charming and amazing food”,“Superb food!”,4.5
345. Le Troquet,MICHELIN,335 reviews,"French, European",$$ - $$$,“Good lunch - classic French restaurant”,“Great service”,4.0
346. La Bourse et La Vie,MICHELIN,208 reviews,"French, European",$$ - $$$,“Fine dining by the fashion greats”,“Classic bistro from a formerly innovative...”,4.0
347. Fleur de Pave,MICHELIN,52 reviews,French,$$$$,“Absolutely delightful and exceptional...”,"“Excellent dinner, though something was...”",4.5
348. Imperial Treasure Fine Chinese Cuisine,MICHELIN,45 reviews,"Chinese, Asian",$$$$,“Truly amazing!”,“Very good service and beautiful ambiance”,4.5
349. Neso,MICHELIN,90 reviews,"Seafood, European",$$$$,“Great and daring tastes”,“Wonderful experience”,4.5
350. L’Abysse,MICHELIN,66 reviews,Japanese,$$$$,“Touch to much of Fusion”,“Very good restaurant”,4.5
351. Granite par Tom Meyer,MICHELIN,24 reviews,French,$$$$,“Exceptional and creative cuisine”,“Bientôt les étoiles”,5.0
352. Le Duc,MICHELIN,175 reviews,Open Now,"French, Seafood","“Excellent and expensive seafood, skip the...”",“Fresh Fish at affordable prices in nice...”,4.0
353. Kisin,MICHELIN,94 reviews,"Japanese, Asian",$$ - $$$,“Awesome Japanese udon in the city”,“Beautiful noodles”,4.5
354. Le Bordeluche,MICHELIN,81 reviews,"French, Contemporary",$$ - $$$,“Absolutely amazing food”,“Wonderful meal”,4.5
355. Flocon,MICHELIN,83 reviews,"French, European",$$ - $$$,“Hidden gem in the Latin Quarter”,“Looking forward to returning soon.”,4.5
Tresor De Kashmir,,128 reviews,Indian,$$ - $$$,“Long time I didn't have such a good...”,“Great Pakistani dinner and great service”,4.0
356. Manko Paris,MICHELIN,714 reviews,"Peruvian, Latin",$$$$,“Disappointing”,“Nice bar”,3.5
357. L'Assaggio at Hotel Castille,MICHELIN,152 reviews,"International, Italian",$$$$,“Company teambuilding”,“Great food with exceptional ambience”,4.0
358. Kinugawa Vendome,MICHELIN,444 reviews,"Japanese, Sushi",$$$$,“Very good sushi”,“Excellent Japanese with a nice atmosphere”,4.0
359. Le Quincy,MICHELIN,232 reviews,"French, European",$$ - $$$,“Superb and original !!!”,“Great French country lunch”,4.0
360. Le Galopin,MICHELIN,24 reviews,French,$$$$,“Big potential”,"“Classe, bon, chic”",5.0
361. JIN Saint-Honore,MICHELIN,171 reviews,"Japanese, Sushi",$$$$,“Good experience.”,“Omakase in Paris”,4.0
362. Esquisse,MICHELIN,164 reviews,"French, European",$$ - $$$,“Unique take on classic French food in...”,“Such an all round enjoyable experience...”,4.0
363. Restaurant Allard,MICHELIN,"1,152 reviews","French, European",$$$$,“Charming bistro in St Germain area with...”,“Restaurant Allard”,3.5
364. Racines,MICHELIN,262 reviews,"Italian, French",$$ - $$$,"“Nice restaurant, but is it worth a...”",“Great supper”,4.0
365. To Restaurant,MICHELIN,90 reviews,"Japanese, Fusion",$$$$,“To try again if in Paris”,“A gem in the 10th”,4.0
"Portologia Paris, La Maison des Porto",,34 reviews,Open Now,"European, Portuguese",“Amazing experience”,“wine testing”,4.5
366. Sancerre Rive Gauche,MICHELIN,71 reviews,French,$$ - $$$,“Day trip”,“Lunch”,4.0
367. Cafe Noisette,MICHELIN,44 reviews,"French, Healthy",$$ - $$$,“Great restaurant with a large variety of...”,“When in Paris eat tapas”,4.5
368. Restaurant Passerini,MICHELIN,280 reviews,"Italian, Mediterranean",$$ - $$$,“Lunch”,"“good food, excellent service, limited...”",4.0
369. Marius et Janette,MICHELIN,546 reviews,"French, Seafood",$$$$,“Disappointing”,“When eating is a poetry”,3.5
370. Sellae,MICHELIN,65 reviews,French,$$ - $$$,"“The food is really good, special”","“Moderately priced restaurant, quiet and...”",4.0
371. Le Gentil,MICHELIN,28 reviews,"French, European",$$ - $$$,“No choice lunch menu skilfully executed”,“Beautifully simple yet delicious meal”,4.5
372. Mordu Saint Germain Des Pres Paris,MICHELIN,33 reviews,"French, European",$$ - $$$,“A great restaurant with high ambitions”,"“Interesting new place, will probably get...”",4.5
373. Norma,MICHELIN,106 reviews,"Italian, Mediterranean",$$ - $$$,“Nice but expensive”,“I had such a good time”,4.0
374. Restaurant Table,MICHELIN,226 reviews,French,$$$$,“Restaurant Table (Update)”,“Table”,4.0
375. Il Cuoco Galante,MICHELIN,84 reviews,"Italian, Contemporary",$$ - $$$,“Italian beauty near Montmartre!”,“Good Italian but expected more from the...”,4.0
376. Petit Gris,MICHELIN,39 reviews,"French, European",$$ - $$$,“Délicieux et chaleureux”,“Génial !”,4.5
377. Imperial Choisy,MICHELIN,533 reviews,Open Now,"Chinese, Asian",“steamed chicken with ginger sauce!”,“Very good chinese”,3.5
378. Conti,MICHELIN,88 reviews,"Mediterranean, European",$$$$,“Always a delight”,“We never miss Conti!”,4.5
379. Thiou,MICHELIN,132 reviews,"Asian, Thai",$$$$,“Very good and authentic Thai”,“Delicious food by a chef-entrepreneur who...”,4.0
380. Aida,MICHELIN,89 reviews,Japanese,$$$$,“Absolutely the best Japanese restaurant”,“Just great”,4.5
381. Brigade du Tigre,MICHELIN,34 reviews,Asian,$$ - $$$,“Top fusion asiatico/francês paladar e...”,“Melhor fusion asiático/francês de Paris”,4.5
382. La Vierge,MICHELIN,78 reviews,Open Now,French,“Nice local place”,"“Lovely view, but food disappointing.”",4.0
383. Marcore,MICHELIN,49 reviews,Open Now,"French, Bar",“Great quality pick & collect”,“Takeaway during Covid-times - amazing for...”,4.5
384. Bistro Mavrommatis Passy,MICHELIN,43 reviews,"Mediterranean, Greek",$$ - $$$,“Great Greek kitchen in Paris”,“Great Greek restaurant”,4.5
385. Dersou,MICHELIN,198 reviews,"European, Asian",$$$$,“Interesting”,“Great food and concept”,4.0
386. Plenitude,MICHELIN,14 reviews,French,$$$$,“Tres magnifique”,“Magnifique!”,5.0
387. Le Cherche Midi,MICHELIN,371 reviews,"Italian, Mediterranean",$$ - $$$,“Authentic north Italian food in paris”,“Worth it in every way”,3.5
388. Alleudium,MICHELIN,14 reviews,"French, Fusion",,“More than a hidden gem”,“Un festival de saveurs”,5.0
389. Bel Ordinaire,MICHELIN,20 reviews,French,$$ - $$$,“Delightful”,“Friendly casual and excellent food”,4.5
390. Le Rigmarole,MICHELIN,31 reviews,"French, Japanese",$$$$,“Special Gem in Paris”,“Sophisticated tasting adventure with...”,4.5
Pizzeria Arrivederci,,"1,034 reviews","Italian, Pizza",$$ - $$$,“Best Italian place in Paris”,“Amazing”,5.0
