,title,author,count,ratingdate,text,visitdate,likes,rating,weekday,month
108,Perfect evening,travel2299,99,2017-10-02,"The staff has been very welcoming and friendly, the atmosphere is very relaxed. The food is delicious, we had the wine pairing, which was a very interesting selection and both sommeliers have been very enthusiastic explaining the wines, which has been great fun.",2017-09-01,0,5.0,Monday,October
110,Worthy of the hype!!!,Nishal M,15,2017-09-09,The food is delicious - a marriage of complex flavours and techniques that are incredibly well executed! The wine is worth a visit on its own. The setting is casual and comfortable and the staff are superb. Septime represents incredible value for money - if...More,2017-09-01,0,5.0,Saturday,September
111,Wow...,TammyN125,19,2017-08-21,"One of our best meals in Paris. However, if you're looking for ""classic"" French onion soup, pate, baked brie, coq au vin, etc., this isn't for you. Each dish was artfully prepared with fresh, local ingredients that are also sustainable. Flavors were bright; wines were...More",2017-07-01,2,5.0,Monday,August
112,Very good but not great,jledesma,98,2017-07-30,"We had lunch at Septime in Paris, with very high expectations because of very good reviews.  The tuna was very good, but the baby hen was a bit disappointing.  Dessert was great though.  Service was great and the staff was very friendly.  Could possibly return...",2017-07-01,2,4.0,Sunday,July
113,Glad I could try it!,amanda benton d,55,2017-07-26,Scored a lunch reservation so I was happy to finally get to try Septime as everyone raves about it! The neighborhood is definitely off the beaten path and a very different part of Paris than I've had the chance to explore so it was neat...More,2017-07-01,0,4.0,Wednesday,July
114,"Refined cuisine, eclectic environment ",royc52,70,2017-07-25,"7 course degustacion menu with superb wine paring, concentrated on vegetables, light on fauna 
Service was attentive and faultless 
Decor wasn't distressed postmodern",2017-07-01,2,5.0,Tuesday,July
115,Dinner at Septime,LajlaKjohansen,22,2017-07-19,"Fantastisk middag, virkelig god mad og vin. Super service, dejligt at personalet kunne både dansk, engelsk og fransk ❤️ 
Amazing dinner, really good food and wine. Super service and really nice that the staff spoke both Danish, English, and French ❤️",2017-07-01,0,5.0,Wednesday,July
116,Great experience,Wilson L,295,2017-07-18,Highly anticipated visit. Didn't really disappoint. Every dish was delicious. They accomodated us to a nice table for 3 when 1 person in our party cancelled. Service was good. Lost count of how many dishes we had and ordered another bottle of wine right before...More,2017-07-01,1,4.0,Tuesday,July
117,Perfect restaurant,996stephanev,176,2017-07-17,Been fighting for a table for 2 years but the waiting is really worth it. The food is really perfect. Will go again and again,2017-07-01,0,5.0,Monday,July
118,First class AND reasonably priced!,n8fire,253,2017-07-10,"No wonder it's hard to get a reservation at Septime.  The food is fanstastic and you won't break the bank eating there.  As a matter of fact we were only able to get a reservation for lunch.  We were not disappointed.

At Septime you are...More",2017-05-01,0,5.0,Monday,July
120,Top Notch meal and creativity,stuhef,11,2017-06-30,"This was one of my favorite meals I've ever had in Europe. The tasting menu of six courses was full of creativity and had a great mix of wonderful flavors. We went on a Thursday night which didn't serve meat, but did have seafood. The...More",2017-06-01,0,5.0,Friday,June
121,"Amazing, sublime, a reputation well deserved",100CountriesNow,55,2017-06-22,"I finally got a reservation at Septime, after poking around on the internet for the better part of two months. I invited some friends along. It was a hot day in Paris (35 degrees) and the restaurant has no air conditioning, but the food managed...More",2017-06-01,0,5.0,Thursday,June
122,Amazing creativity ,BiboHH,14,2017-06-02,One of my favorite restaurant in Paris. The menu changes every day with excellent products. Amazing creativity and surgical precision. Only drawback: it's very hard to book a table.,2016-09-01,0,5.0,Friday,June
123,As always ,palatinohospitality,128,2017-06-02,The food was really innovative as always. Quite impressed by the consistency of the quality over the years. Staff remains nice and professional which is also impressive in Paris :). Good experience. But please improve the quality of the booking!!,2017-06-01,6,5.0,Friday,June
124,Not-so-simply great.,Bill R,127,2017-05-30,the casual atmosphere hides just how complex and rewarding this restaurant is. This is my second visit here ( the first was two years ago)  . The set menu on this particular evening was heavily vegetarian and always delicious and surprising.  The pidgion was especially...More,2017-05-01,1,5.0,Tuesday,May
125,First class restaurant,Ian_Stanton,25,2017-05-30,"This is a fabulous restaurant. My friends and I had the tasting menu which h was described to be inspired by seasonal ingredients. Every dish that was brought to us was described by the waiting staff, and accompanied by a matched wine. The food and...More",2017-05-01,0,5.0,Tuesday,May
126,Still wonderful,rumtytum,60,2017-05-27,"This is our 3rd visit to Septime in 5 years and it's as good as ever, which is just about as good as it gets. Every dish was perfect in its way and every course followed the course before elegantly and logically. The service is...More",2017-05-01,1,5.0,Saturday,May
127,Lovely Dinner ,blake166,17,2017-05-20,"Overall, highly recommend. We were told by our hotel that mostly Americans would be there, but we were pleasantly surprised to find it more of a local spot. If you don't speak French don't let that dissuade you as most of the staff speaks great...More",2017-02-01,1,4.0,Saturday,May
128,Flavors you never knew would mix well together ,isableski,51,2017-05-17,"The experience at Septime is once- in-a-lifetime. We arrived at the earliest seating time which allowed us to enjoy the ambiance. We then had some appertifs, the daily infused water (which is highly recommended if you take the metro to the restaurant on a warm...More",2017-05-01,0,5.0,Wednesday,May
130,"Very good restaurant, not nothing to write home about",edsilver315,19,2017-04-06,"I will say that we had a white asparagus/honey dish that was out of this world, and the desert was fantastic, too. However, I just don't get what the hype is all about. Our entree was not tasty at all. BTW, we came for lunch,...More",2017-04-01,0,3.0,Thursday,April
131,A Very Different Dining Experience at one of Paris Hot Spots,phd2,167,2017-03-28,"Firstly if you're thinking of visiting Septime make sure you book well in advance.  You still may not get in as this is incredibly popular - out of the way, in a small space and not that easy to get to.

With its Michelin Star...More",2017-03-01,1,4.0,Tuesday,March
132,Not an usual starry,SaraIRIT91,35,2017-03-03,"I had an excellent time with my boyfriend during our Paris journey, we ate prearranged menu, 80€ per person, with 5 dishes. we were served by and italian somelier and we were so lucky. I really reccomend.",2017-02-01,0,4.0,Friday,March
133,A dining experience,BremenCologne,97,2017-02-03,"This place is so popular we booked 2 months in advance for the Michelin Star restaurant and enjoyed a very pleasant evening with French friends. We had the degustation menu consisting of 6 courses that provided a real variety of tastes,all being excellent. The wine...More",2017-01-01,1,5.0,Friday,February
134,"Lovely dinner, extremely hard to get a reservation",465villel,4,2017-01-30,I would say the whole dinner was a great experience. Interesting and new tastes but still simple enough. Wine set was extremely good and complimented the food really well. We ordered one wine set to share for two persons since it was quite a lot...More,2016-12-01,0,5.0,Monday,January
135,Excellent!!,Pat1970512,231,2017-01-21,We enojed it very much. The menue was just stunning and so was the service. It is very popular place in Paris at the moment. The delicious food and great wines and the faboulos atmosphere was just special. Will return soon!,2017-01-01,0,5.0,Saturday,January
136,Glad I've made it! Incredible food!,Fkest,59,2017-01-21,"Septime is an exquisite Michelin-starred restaurant in the heart of 11th district (Rue de Charonne) that serves fantastic french-driven bites. They prepare a different menu from time to time; I went for lunch and refuted the degustation alternative. Instead, I've chosen a three-course menu: (i)...More",2017-01-01,1,5.0,Saturday,January
137,Amazing,davyc71,20,2016-12-29,"Our hotel concierge helped us get this reservation, which I had heard was otherwise difficult to get. I had walked into this restaurant not knowing much about it other than from rave recommendations from friends.  I walked out thinking that this is one of the...More",2016-03-01,0,5.0,Thursday,December
138,difficult to reserve but was it worth it?,dennisgm,18,2016-12-14,"I researched, reviewed the various blogs and reviews and of course the web site of Septime; called and e mailed several times from 2 trips to paris and back and on the 3rd try, after 5 telephone calls, I was able to get a reservation...More",2016-11-01,2,4.0,Wednesday,December
140,Most difficult review I have written -- I so wanted to love this place,Billy R,187,2016-11-20,What can I say?  #50 restaurant in the world.  Michelin Star.  Great reviews. I'm sorry but I was left wanting more.  It just seemed the whole place was off the night i visited.  We were promptly seated and waited approx 13 mins to have water...More,2016-11-01,5,4.0,Sunday,November
141,"Great lunch, attentive service",PermanentNomad,313,2016-11-17,"As I arrived after 2 pm only the 3 course set menu was available.  The food was delicious. The ingredients in each dish were very fresh, the presentation was beautiful and the food was very tasty.  The staff was friendly and checked to see that...More",2016-10-01,0,4.0,Thursday,November
142,Excellent food!,laurencx2020,62,2016-11-11,"Nice service and excellent meals taking in account food allergies.

Very Cosy and authentic place and the price worth it!

Not easy to book for a table...",2016-03-01,0,5.0,Friday,November
143,Overhyped,RVAEgghead,45,2016-10-26,"My wife and I went to Septime for lunch while on vacation in Paris.  The decor is farm to table and is nice.  We had the price fix menu, which was 3 courses and 32 euro per person.  The staff was polite and spoke English....More",2016-10-01,2,3.0,Wednesday,October
144,Lives right up to its reputation,zana414,21,2016-10-19,"Since reservations are awfully hard to come by, you might end up there for lunch. Don't be afraid to go for the tasting menu (a great value at 60 Euros) even if it feels like an indulgence at noon. Delightful small plates, well presented and...More",2016-10-01,2,5.0,Wednesday,October
145,Nice staff and good food,Cecilie Ø,1,2016-10-15,Really nice restaurant with superb food. Starters were amazing. The wine package was an excellent match!,2016-10-01,0,4.0,Saturday,October
146,Wonderful lunch,Travelgirl2020,67,2016-10-12,Had a nice lunch on a showery day in Paris.  The tables are big and set a good distance apart.  The service is casual but professional.  Limited items on menu meant that the kitchen could really focus and these where the best ingredients that day....More,2016-06-01,0,5.0,Wednesday,October
147,Quick decision lunch,fculrich,42,2016-10-07,"Great location, super food, very nice, helpful and flexible staff. Good wines and excellent service. What more would you want?",2016-10-01,0,5.0,Friday,October
148,"Go, if you love food",raysy,33,2016-10-05,"Dysfunctional website ... almost impossible to get a booking … no name on the premises … theatrical grunge décor… open kitchen … packed out.  Must be the 50th best restaurant in the world!
Just succeeded (four weeks in advance) in getting a lunch booking here...More",2016-10-01,1,5.0,Wednesday,October
150,"Fantastique food, disorganised service.",Hotketchup,84,2016-09-27,"We had an incredible tasting menu at this michelin starred restaurant.  I had called exactly 3 weeks in advance and was able to secure a coveted 8pm table.  I was called 1 and 2 days before to confirm that we were coming. So, we were...More",2016-09-01,3,4.0,Tuesday,September
151,Favorite meal in Paris ,tabitravel123,7,2016-09-19,"Acting on the recommendation of a friend, we booked into Septime for lunch rather than dinner. The full lunch course included six-or-so impeccably presented and delicious seasonal dishes. The service was excellent yet unfussy, with explanations in English for the more unusual ingredients. The neighborhood...More",2016-09-01,2,5.0,Monday,September
152,Septissimo,Noam J,252,2016-09-10,"The buzz is high, very hard to make reservation. 
Very busy during lunch but once you manage to order your lunch (not easy...) everything flows smoothly.
It's a modern bistro style place. Young oriented. The food is very good but not that creative.
We had...More",2016-08-01,2,4.0,Saturday,September
153,"Amazing food & staff, worth the price (and still not so crazy), strongly recommended, a true culinary experience",Emmanuelle1983,68,2016-09-08,"One of my favorite restaurants in Paris.
Non pretentious while of great great quality, dishes are so flavorful and special/interesting/so creative.

The team is amazing, they know their products and dishes, are passionate and happy to explain and recommend to you, as well as make...More",2015-10-01,2,5.0,Thursday,September
154,Excellent ,mara_shiokshiok,78,2016-09-03,"Improvised lunch without booking. Very nice atmosphere, great service... And the food was very good, products were fresh, every detail well thought on the table. A good moment.",2016-09-01,1,5.0,Saturday,September
155,"Beautiful, value, mouthwatering",lauradW6997HX,12,2016-09-01,I was fully anxious about visiting a degustation restaurant after encountering transitional French food the night before. I'm not completely fussy however I don't eat anything that comes from the sea ( I gag so bad) and I eat only a handful of types of...More,2016-09-01,1,5.0,Thursday,September
156,Good food & creative but slightly overrated ,PKT207,326,2016-08-24,"Don't get me wrong. The food was creative and good but our expectations were sky high and they did not deliver. 

We had the 6 course tasting menu for lunch and were served prawns (amazing), eggplant (good), tuna belly (amazing), duck (average), 2 deserts (good)....More",2016-08-01,3,4.0,Wednesday,August
157,One of my favorite restaurants in Paris ,JTravellerSydLon,37,2016-08-04,"Creative, thoughtful and delicious Asian-French fusion. Now if it were only possible to get a table there without calling at exactly 10am three weeks in advance (and I do mean exactly...) :)",2016-08-01,2,5.0,Thursday,August
158,Fun!,claudiah647,64,2016-07-25,"Simple and humble, Septime really brings flavors out to dance with you! You have to embrace the unexpected because there is so much of it. It was a bit of of the way so I only went once, I suspect it would amuse me over...More",2015-09-01,2,5.0,Monday,July
160,No way,Trotteglober,282,2016-07-23,I am not sure I understand how the rating works. How can this bistrot type of restaurant be in the top 50 best in the world (according to I do not know wha guide) this will remain a mistery for me. It's a very nice...More,2016-07-01,3,4.0,Saturday,July
161,Great Fun!,Jim P,254,2016-07-16,"So this is what one Michelin star looks like these days: bare walls and floors, rough wood tables, a breezy and helpful young staff who look like a high-school cooking club -- and a six-course tasting menu for 60 Euros per person at lunch (aperos...More",2016-07-01,3,5.0,Saturday,July
162,Creative and delicious,27Mathieu,28,2016-07-15,The lunch tasting menu was excellent.  Traditional ingredients used in unexpected ways.  Great experience and great service.,2016-07-01,0,5.0,Friday,July
163,Top-notch dining in Le Marais,markfT5463KJ,14,2016-07-14,We booked reservations for lunch here several weeks in advance.  This restaurant more than earns its Michelin star - every course of our 6-course tasting menu was excellent.  We asked the sommelier (or at least the waiter we were directed to with our wine questions)...More,2016-07-01,0,5.0,Thursday,July
164,Best Meal We've Had,ecadams87,30,2016-07-02,"We snagged a lunch reservation here for the first day of our honeymoon -- and boy did it get the trip off on the right foot! Every course was simple and straightforward, with bold, interesting flavors. The ambiance of the restaurant is also relaxed and...More",2016-06-01,0,5.0,Saturday,July
165,Wonderful lunch in Paris!,Janet B,16,2016-06-29,"Visited Septime this past month. I made the reservation 3 weeks in advance, per suggestion, for lunch. I want to report there were empty tables available, however. You could take your chances but why? This was, by far, our best meal in Paris. My daughter...More",2016-06-01,1,5.0,Wednesday,June
166,Terrible night,cintra1978,1,2016-06-23,"I asked the concierge from my hotel in Paris two days ago to get a reservation for the Septime Restaurant, for this Thursday. I was taken aback when I got there and they said the concierge had lied to me since they are fully booked...More",2016-06-01,5,1.0,Thursday,June
167,Worth the visit,dodo4u,85,2016-06-20,"Managed to find an opening online and booked it rightaway.

Easy to reach by metro and a 2 minute walk.

Friendly staff, casual and polite.

Tried the 6 course degustation lunch and each course was excellent except for the fish which lacked some flavor. Delicious...More",2016-06-01,0,5.0,Monday,June
168,A meal that is of the highest quality and matching wines that really challenged our thinking,John T,73,2016-06-15,We had the 7 course menu with matching wines and the meal was exquisite. The matching wines were excellent (not what I would normally have selected). The blend of ingredients and cooking styles created flavours and textures that were some of the best dishes I...More,2016-06-01,0,5.0,Wednesday,June
170,What a good table,pojack55,153,2016-06-15,"In this area of Paris there is so many tables... This one could be ranked as one of the top 3. It is a bit fashion for the ""bourgeois-boheme"" and sometimes a bit snoby... But within the plate it can be super extraordinary!! Organic top...More",2015-10-01,0,5.0,Wednesday,June
171,Well worth the hassle of getting online in time to book,Maitreyib,60,2016-05-28,"We got there ten minutes late for a 1330 reservation and had to,wit for a table. Staff friendly, soured us it would not be long, asked if we wanted a drink at bar while waiting, and brought us a plate of delicious, moist ham. 
Plain...More",2016-04-01,1,4.0,Saturday,May
172,Amazing!,AWinterborn,5,2016-05-25,Everything was amazing! Cant find any faults. The food was creative and delicious and service impeccable! Go for yourself and find out!,2016-04-01,1,5.0,Wednesday,May
173,Delicious food,71barryz,17,2016-05-15,"I had the 3 course lunch, which I reserved on their website.  (Dinner cannot be reserved on the website).  All the courses were excellent.  High quality ingredients, perfectly cooked and creative.  Service was also outstanding.",2016-05-01,2,5.0,Sunday,May
174,So many unnecessary reservation hurdles...,acmegumbo,39,2016-05-05,...mean we will never again make the effort.  The restaurant makes reservations only by telephone (the website's reservation system never works) 3 weeks out and then only a couple hours per day.  I set an alarm for 2:55 a.m. my time in order to make...More,2016-05-01,10,1.0,Thursday,May
175,Fabulous,Bruce S,114,2016-05-05,One of the best meals I have ever had.  Casual atmosphere and just incredible.  Great staff and service.  Can't wait to go again,2016-05-01,0,5.0,Thursday,May
176,"Best in Paris, quite possibly",jdyck,9,2016-04-20,"There's not much I can say about Septime that hasn't been said before. It's truly at the top of the heap of Paris restaurants, which is saying something! Although quite dear, you are most definitely paying for what you get. Responsibly sourced and immaculately prepared,...More",2015-12-01,2,5.0,Wednesday,April
177,Amazing lunch at a good value,N0rwegianGirl,192,2016-04-19,"We wanted to go here for dinner, but it was impossible to get reservations. However, we managed to get lunch reservations and settled for that. There was a choice between a three course or a six course lunch. We went with the three course menu...More",2016-04-01,4,5.0,Tuesday,April
178,The one french bistrot to try,FoodStache,17,2016-04-03,Septime has been around for quite some years already and is often regarded as one of the first upscale bistrot that helped establish this trend in Paris. It's surely one place to visit when in Paris; for lunch or dinner to try their daily changing...More,2015-09-01,1,5.0,Sunday,April
180,"Inventive cuisine, lovely presentation",innaMontreal,174,2016-03-23,"Reserved by calling 3 weeks in advance and confirmed by calling on the day they asked, so perhaps we were lucky but it was not too difficult. Were in for 3-course 32 euro lunch which only gives a choice of 2 to choose from for...More",2016-03-01,1,4.0,Wednesday,March
181,Truly a Sublime Night Out,2GETLOST,13,2016-02-17,A visit to Paris is not complete without a seat at this coveted chef's table. The wine parings were genius in most instances and though pallets differ you are sure to be offered several dishes that effortlessly command your focus. Our service from Ophelia was...More,2016-01-01,0,5.0,Wednesday,February
182,Forget about bio wines,Del L,38,2016-02-12,"So expensive and same combinaison, u do not choose, u have 6 meals and then you wait a bit too much.... More than 2.5 h for diner. The bio wine are very dispointing and so expansive. It is meant to be a hip'place but seriously???...More",2015-11-01,1,3.0,Friday,February
183,Awful experience dba restaurant nightmare,Allen F,2,2016-02-12,"I have made two dozen trips to Paris over the years and am a foodie. We stay always in a lovely 5 star hotel and their staff is wonderful and always book our restaurants a month in advance. We always mix bistros, new hip joints...More",2016-02-01,20,1.0,Friday,February
184,Lunch,Svetlana S,3,2016-02-10,"Must while in Paris. Making reservation worth the effort. Great service and wonderful food. We did not enjoy one of two desert creations included in pre fix during latest visit, but it changes frequently.",2015-11-01,0,5.0,Wednesday,February
185,Outstanding,newboldimages,44,2016-02-07,"I visited Paris with my work colleagues and the restaurant was booked by my French colleague. He said it was highly regarded and he was not wrong.

We had the 7 course taster menu and the waitress ( who spoke wonderfully good English) was very...More",2016-02-01,0,5.0,Sunday,February
186,Delectable Dining,Donna C,210,2016-01-29,Since this is one of the most difficult reservations to get in Paris my husband and I felt fortunate to be able to secure  ( not without some difficulty) a dinner reservation at Septime.  We were definitely not disappointed.  We choose to go with the...More,2015-06-01,0,5.0,Friday,January
187,Unbelievable foodie experience GO GO GO,Chezpatrick,3,2016-01-26,Septime is one of the best meals I have ever eaten and I simply had to write about it. Go for the tasting menu and let the kitchen team work their magic. The service was charming and efficient and I would go again in tomorrow...More,2016-01-01,0,5.0,Tuesday,January
188,"Understandably sought after, loved it ",656pps,78,2016-01-25,"One of the hardest tables to book in Paris and understandably so. Food is perfect, elegant, completely delicious. Service  personable and outstanding. Loved the ambiance of the place. Wines were terrific",2016-01-01,0,5.0,Monday,January
190,Perfect,Malti S,53,2016-01-14,"I had waited 3 years to eat here, and I was not disappointed.  Firstly, the ambience of the place is great - tables are an appropriate distance apart, the lighting is low (but you can still see your food), the feel of the place is...More",2015-12-01,2,5.0,Thursday,January
191,Awesome spot!!,travel_junkiejonb,18,2015-12-30,This is one of the best restos in Paris. Amazing food and good service for French standards!! You have to reserve weeks in advance to get a table here.,2015-05-01,1,5.0,Wednesday,December
192,Overhyped,Jackson H,78,2015-12-09,"The food is beautifully presented but, alas, disappointing.  We had the six course tasting menu and the first three courses were fish.  45% of the food was bland and beautiful.  20% was inedible but beautiful.  25% was  better than bland (interesting kind of good??) but...More",2015-12-01,1,3.0,Wednesday,December
193,a hungry girl,Saija m,61,2015-12-08,"It was so hard to find a place to eat this Tuesday afternoon att arr 11. Finally I found, half starving, this place. Got a a glass good white wine and start ordering… I had a view to the kitchen, nine dwarfs sweeting. Food was...More",2015-12-01,3,5.0,Tuesday,December
194,Lunch,Andrew P,5,2015-12-04,"Lunch with my gf. Nice place, 
excellent flavors. 
The dessert was superb.   
We payed 80 euro with a glass of wine, water and two coffee and we will come back.",2015-12-01,1,5.0,Friday,December
195,Wish the chef was more friendly...,Cathy B,21,2015-12-03,Read about this restaurant through numerous Paris foodie sites.  It was good but not great.  Comes out distant third against David Toutain and Madame Pic. Sad part was two couples were last to leave except for one other table.  We walked by Chef and he...More,2015-12-01,1,4.0,Thursday,December
196,Wonderful foodie experience!,gschuel,9,2015-12-01,"My girlfriends and I arrived Paris after a long trip, a bit jet lagged and weary.  We had reservations for lunch at Septime on the day of our arrival, as we could not get a dinner reservation.  We desired one exquisite culinary experience in Paris,...More",2015-11-01,0,5.0,Tuesday,December
197,Not memorable. Too hyped up for its own good (or maybe I just have horrible taste).,Suemen,110,2015-11-28,Considering the fact that it took FOREVER to make a reservation (meaning that I only managed to make a reservation when I physically presented myself in person. I must have tried a thousand times to reserve by phone and on their website but to no...More,2015-10-01,2,3.0,Saturday,November
198,One of the best,swinifredb,13,2015-11-22,"Original, and delicious food served by attentive, enthusiastic waiters (who will describe your dishes in English if you wish) presented  in a beautifully designed room that is both spare and warm. Vegetables are honored, but the meats and fish are also perfectly cooked. 
There are...More",2015-11-01,1,5.0,Sunday,November
200,Nice way to spend lunchtime in Paris,candypongmaomao,6,2015-11-21,"This is one of those places which divides opinion.  Some will say they don't get the hype whilst others say it is quite a delightful place.

My husband and I were there for lunch, which we had to book a month in advance.  It's popularity...More",2015-10-01,1,4.0,Saturday,November
201,"Relaxed, flawless service and original, fresh delicious food",AmericanInLondon2013,4,2015-11-13,"My husband and I had an unforgettable Friday lunch with the six-course tasting menu.  The service was professional, calm and friendly - and unobtrusive.  The food was fresh, relatively light and original - and stand-outs were the celeriac 'pasta' ribbons with egg yolk and crushed...More",2015-11-01,1,5.0,Friday,November
202,Dont get they hype,ldjsue,74,2015-11-09,"It was a nice lunch, nothing spectacular. Service average, not particularly friendly.
Food was good - not extraordinary.  If you get in then go as price is reasonable.",2015-11-01,1,3.0,Monday,November
203,Difficult to Reserve But Great Food,D T,63,2015-11-07,This restaurant is so difficult to get a reservation that I’m not sure it is worthwhile—even though I enjoyed the food.  That calendar on their website is enough to cause nightmares after trying over and over and accomplishing nothing.  I thought it was a miracle...More,2015-09-01,1,5.0,Saturday,November
204,Superb long lunch,Michele R,2,2015-11-07,"Septime, 80 rue de Charonne, 75011 Paris.  I’m a solo traveler, not a chef, nor am I a restaurant critic, but I love good food, beautifully prepared and presented and was not disappointed.
Once again it was raining as I set off for my lunch...More",2015-09-01,2,5.0,Saturday,November
205,paris at its best,Felix_G6600,48,2015-10-30,"excellent food,totally fresh,simple ingredients mixed to haute cuisine,great,caring service,interesting wine and beverage-list,one of the very best restaurants in paris,yes,it's woth the sometimes troublesome reservation!",2015-10-01,0,5.0,Friday,October
206,The best. ,SnackHunter007,260,2015-10-30,Wow. Just wow. Such great food. Service in sing and wine list is great. One of my favorite restaurants in the planet. Fantastic.,2015-03-01,0,5.0,Friday,October
207,It doesn't worth it,Piera Anastasia R,95,2015-10-27,"We booked this restaurant 1 month in advance for my birthday and we get a table at 19.30. The location is really great, but the food if we can call it like that it's not so good that we can expected, but it's something to...More",2015-10-01,3,2.0,Tuesday,October
208,Best Meal in Paris,J15OEmaryp,6,2015-10-26,"We dined here for lunch in July. It was, by far, the best dining experience we had in Paris. Every dish was perfectly balanced in flavor and the presentation of the food was second to none. We had a table where I could watch the...More",2015-07-01,1,5.0,Monday,October
210,Didn't disappoint,Jane S,37,2015-10-15,Another great meal in Paris!  The food was delicious and different than your standard French bistro affair.  We had the tasting menu - which was absolutely fabulous!,2015-09-01,0,5.0,Thursday,October
211,Stunning!,ecf1,51,2015-10-15,"This is among the best -- the very best? -- restaurants we've been to in Paris on eight trips over more than 20 years.  It is very hard to get a reservation -- three weeks in advance to the day, and at 12 noon Paris...More",2015-10-01,0,5.0,Thursday,October
212,Worth the Effort - Very hard to  get a Reservation,missros,41,2015-10-11,Reservation made the Concierge at our Hotel - he had to try many times but succeeded and advised me once he was able to get a table for 4. The place is very trendy not at all intimidating but very friendly and comfortable. Surprise Set...More,2015-09-01,0,4.0,Sunday,October
213,Awesome long lunch,CRB333,35,2015-09-30,"What a way to spend our last day in Paris. We had the 6 course menu and loved every dish. The tasting menu includes 2 starters, 2 mains and 2 desserts! Prepare yourself for some tasty surprises. The service was excellent too, with friendly and...More",2015-09-01,0,5.0,Wednesday,September
214,Why go to Paris if you're not going to eat at Septime?,chelseagilson,17,2015-09-29,I suppose I'll start with what I consider the best.  It would be an absolute shame to go to Paris and not eat at Septime.  The tasting menu is inventive with fresh and flavorful dishes that tickle your tastebuds and leave you wonderfully satisfied.  The...More,2015-09-01,1,5.0,Tuesday,September
215,Exceptional food,tdav13,31,2015-09-24,This restaurant was WOW - exceptional. My boyfriend and I love love good resto's and this one was a hit. We treated ourselves out to a nice $ dinner before moving back home from this beautiful city. We obviously had the 7 course 65euro meal...More,2015-09-01,0,5.0,Thursday,September
216,Lovely place to spend a long relaxed lunch over a very good tasting menu!,John D,11,2015-09-16,"The food here is exceptional with some really interesting and original flavour combinations. What makes this place special though is the enthusiasm and friendliness of the staff. If you feel like an exciting, and sometimes challenging, ride through their wine list then go with their...More",2015-09-01,0,5.0,Wednesday,September
217,Great lunch!,ParisKat,116,2015-09-13,"Because of so many great reviews and mentions in food and travel magazines, I was really looking forward to lunch at Septime.  I was not disappointed, and in fact had a perfect lunch:  great food in portions that were not huge, really good wine, and...More",2015-09-01,0,5.0,Sunday,September
218,Wonderful French Fare,mary m,22,2015-09-10,"The food here is excellent! The menu changes daily because the chef buys local. The result is wonderful food. Sadly, I could only get reservations for lunch during our trip- if you're interested in this fantastic food you'll need to plan ahead.",2015-06-01,0,4.0,Thursday,September
220,Impossible to book but really worth it,savask,195,2015-09-06,"This is one of the very highly demanded palces in Paris. It has it all that is why: Hipster looks, young multi-awarded chef, nice crowds, innovative cuisine. The menu is set so you have no choice ( expect if you are vegetarian so a replacement...More",2015-07-01,0,4.0,Sunday,September
221,Absolutely fantastic,mik_jordan,23,2015-08-08,"That is one of our best gastronomy experience in Europe. Fantastic food, fresh and perfectly prepared. Absolutely recommendable.",2015-07-01,0,5.0,Saturday,August
222,Book three weeks in advance,Ariel_Xianne,42,2015-08-02,"Septime is probably one of the toughest restaurants to get a reservation in Paris. However, giving consideration to the price we paid (about 40 euro per person), the food here is just PERFECT. They only serve set menu which never goes wrong. This restaurant also...More",2015-04-01,7,5.0,Sunday,August
223,Finally found a table!,Flami1990,205,2015-07-30,"After months of trial I finally get a table at Septime.

Cozy restaurant in the 11th arrondisement offering an incredible culinary experience!

Unfortunately the dessert was nothing special but overal the dinner was great! Curious to come back to experience a new proposal of the...More",2015-07-01,1,5.0,Thursday,July
224,Delightful Lunch,nhes,53,2015-07-25,"Yes, reservations are difficult for to get but try calling for lunch. I never could get the website system to work but made a lunch reservation by phone about 3 weeks out. 
The lunch was delicious, lighter than some of our other meals and a...More",2015-07-01,2,5.0,Saturday,July
225,Amazing!,Thecantys,14,2015-07-20,We visited for lunch as it was the only table available during our stay in Paris and we had the most amazing food and wine. The best plate of food I have ever tasted. Book yourself a table here if you can get one! Outstanding...More,2015-07-01,1,5.0,Monday,July
226,Good food but had higher expectations,BeneLou75,27,2015-07-15,"I had to book 3 weeks in advance and had heard so much about this restaurant that I was really excited about it. The food was good, the service as well but I was expecting something better and I was a bit disappointed. Don't get...More",2015-07-01,0,4.0,Wednesday,July
227,Original food with fresh ingredients but limited selection,workingmom001,41,2015-07-12,"Found Septime in 2015 Lonely Planet guidebook.  Made lunch reservation for three of us that same morning.  Did not realize that the one menu had only 2 appetizers, 2 mains, and 2 desserts from which to choose.  Really enjoyed 1 of the appetizers (raw tuna...More",2015-06-01,0,3.0,Sunday,July
228,Hard to get a table,EuroEpicure,13,2015-07-08,"If you can get a table - go! 
Interesting and inventive food. 
Opt for lunch as it is affordable. 
After they got their Michelin start it is
even harder to get a table.",2015-04-01,0,5.0,Wednesday,July
230,Booking,afp64,5,2015-07-04,"I have tried to book this a place at Septime for my wife's birthday. From the website, you are adivised to book online, with a cumbersome system that, in theory, opens the booking only 21 days before each date. I wanted to be sure of...More",2015-07-01,6,1.0,Saturday,July
