rest_name,rest_url,wlyyy,rest_reviews,cuisine,pricing,safety,rest_lastrev,rest_prevtolast,rest_rating,rev_rest,author,rev_title,rev_text,rev_ratingdate,rev_visitdate,author_reviews,author_likes,rev_rating
82. Sola,https://www.tripadvisor.com/Restaurant_Review-g187147-d1983769-Reviews-Sola-Paris_Ile_de_France.html,MICHELIN,783 reviews,"Fusion, Japanese",$$$$,,“Amazing Japenese food with a french...”,“Superb!”,4.5,Sola,Tjossan,Superb!,Very good food and attentive service! Really like the idea that they’re not letting you know what’s in the dish until after you’ve finished.  Would love to come back!,"Reviewed September 24, 2021 ",Date of visit: September 2021,3 reviews,,
83. L'Antre Amis,https://www.tripadvisor.com/Restaurant_Review-g187147-d718118-Reviews-L_Antre_Amis-Paris_Ile_de_France.html,MICHELIN,393 reviews,Open Now,$$$$,Taking safety measures,“Great but a little crowded”,“Recomendation to everybody!”,4.5,L'Antre Amis,L2492MWmichaelm,Recomendation to everybody!,"The food is innovative and delicious. Good service too, with a friendly team and big smiles and a genuine touch. Recomendation to everybody!",Reviewed 3 weeks ago ,Date of visit: November 2021,2 reviews,,
84. Les Enfants Rouges,https://www.tripadvisor.com/Restaurant_Review-g187147-d1175069-Reviews-Les_Enfants_Rouges-Paris_Ile_de_France.html,MICHELIN,483 reviews,"French, European",$$ - $$$,,"“Innovative, Delicious French-Japanese...”",“A place where you will return each time...”,4.5,Les Enfants Rouges,william z,A place where you will return each time in Paris,"We may never have gone here, except it was one of the small amount of restaurants open on Sunday in Paris. The restaurant is small and the tables are as one would expect, but there is more than adequate space between the tables.

Here the food does the talking. Each dish is wonderfully and creatively prepared and the taste buds sing as you are eating. The wine list is compact, but offers nice selections to compliment the food, at very reasonable prices. The service was both knowledgeable and gracious and the overall experience was such that I would love to be back there this evening.

Reserve well ahead and you will be delighted .","Reviewed November 15, 2021 ",Date of visit: November 2021,,,
85. Le Jourdain,https://www.tripadvisor.com/Restaurant_Review-g187147-d7049541-Reviews-Le_Jourdain-Paris_Ile_de_France.html,MICHELIN,392 reviews,"French, Seafood",$$ - $$$,,“Great experience!”,“Great value”,4.5,Le Jourdain,thomascrisp,Great value,"Friendly English speaking staff. Booked table. All on time. Explained the menu. Very accommodating. Food was amazing. Full of flavour. We ordered jabón, smoked beetroot, crab and spaghetti, peppers and anchovies and purple broccoli. Would recommend.","Reviewed February 7, 2020 ",Date of visit: February 2020,1 review,,
86. Restaurant Akrame,https://www.tripadvisor.com/Restaurant_Review-g187147-d2080368-Reviews-Restaurant_Akrame-Paris_Ile_de_France.html,MICHELIN,587 reviews,"French, European",$$$$,,“Akrame is hidden in a beautiful”,“Best lunch in Paris”,4.5,Restaurant Akrame,Stew B,Best lunch in Paris,"This is my 6th visit to Akrame over my years of visiting Paris. It is an absolute gem with some of the most innovative cuisine you could imagine. I highly recommend this place to anyone who wants to blow their palate away. The chef/owner Akrame also came out to welcome his guests during the meal and is a humble genius. DO yourself a favour and try the lunch. Incredible value for this quality of food, service and all round experience. Enjoy","Reviewed November 19, 2021 ",Date of visit: November 2021,,,
87. Qui Plume La Lune,https://www.tripadvisor.com/Restaurant_Review-g187147-d2081941-Reviews-Qui_Plume_La_Lune-Paris_Ile_de_France.html,MICHELIN,476 reviews,"French, European",$$$$,,"“Inventive, elegant cuisine”",“Best experience in Paris!”,4.5,Qui Plume La Lune,katrinehaugel,Best experience in Paris!,Top quality food and wine. The courses are new thinking French food and the wine pairing is sublime.,"Reviewed November 30, 2019 ",Date of visit: November 2019,1 review,,
88. Auguste,https://www.tripadvisor.com/Restaurant_Review-g187147-d695136-Reviews-Auguste-Paris_Ile_de_France.html,MICHELIN,526 reviews,"French, European",$$$$,,“A place worth trying”,“His first visit to Auguste guarantees...”,4.5,Auguste,jackyv987,Disappointing,"Extremely disappointed in this dinner. The food was good, but mediocre. Nothing innovative or exciting. The staff wouldnt explain any of the dishes nor did they explain the wines. They simply threw the plates in front of you. We left after the main course when we still had a couple of serves to go, because it was so disappointing.","Reviewed September 21, 2021 ",Date of visit: September 2021,,,
89. Mavrommatis,https://www.tripadvisor.com/Restaurant_Review-g187147-d887238-Reviews-Mavrommatis-Paris_Ile_de_France.html,MICHELIN,457 reviews,"Mediterranean, European",$$$$,,“A fantastic greek restaurant in Paris”,“Fantastic”,4.5,Mavrommatis,Q4848IOjuliettec,Fantastic,This is the best place to try the best mezeh that you can find in Paris.  The authentic Greek food made by the best cook man Greek.  We had a perfect experience. Amazing,"Reviewed December 6, 2021 "," <img src=""https://media-cdn.tripadvisor.com/media/photo-l/21/88/9c/5e/mavrommatis.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""562601054"" /> >",2 reviews,,
90. Restaurant David Toutain,https://www.tripadvisor.com/Restaurant_Review-g187147-d6115029-Reviews-Restaurant_David_Toutain-Paris_Ile_de_France.html,MICHELIN,765 reviews,Open Now,$$$$,,“Outstanding”,“Great special occasion dinner/lunch”,4.5,Restaurant David Toutain,Tatiana S,Great special occasion dinner/lunch,"We went there for lunch and it took a very special 3 and a half hours to enjoy.
You would not go there just to eat when you are hungry but the experience and unique foods and tastes were great! The only problem is when you claim that you do not eat something take care it can be just a simple(r) vegetable version, not something as everyone else having.","Reviewed December 17, 2021 ",Date of visit: December 2021,,,
Golden Spoon,https://www.tripadvisor.com/Restaurant_Review-g187147-d21206364-Reviews-Golden_Spoon-Paris_Ile_de_France.html,,33 reviews,"Mediterranean, Fusion",$$$$,,“Beautiful place 😍”,“Coven covid only takeout but”,5.0,Golden Spoon,,,,,,,,
91. Le Casse Noix,https://www.tripadvisor.com/Restaurant_Review-g187147-d2192483-Reviews-Le_Casse_Noix-Paris_Ile_de_France.html,MICHELIN,546 reviews,"French, European",$$ - $$$,,“A pure gem in Paris!”,“One of the best meals we had in Paris”,4.5,Le Casse Noix,jenfrancony,One of the best meals we had in Paris,"Delicious 3 course lunch, traditional French cuisine. Service was great. Booking advised, we were lucky to get a table.","Reviewed December 7, 2021 ",Date of visit: October 2021,10 reviews,1  ,
92. Les Botanistes,https://www.tripadvisor.com/Restaurant_Review-g187147-d1991492-Reviews-Les_Botanistes-Paris_Ile_de_France.html,MICHELIN,492 reviews,"French, European",$$ - $$$,,“Back again”,“Most charming”,4.5,Les Botanistes,Passport156002,Most charming,I was in Paris the week of Thanksgiving with my daughter and granddaughter. I had dined at Les Botanistes twice before on another visit and we had lunch one day and dinner our last night during this trip. I just love Les Botanistes. It is charming and family run and a very intimate restaurant. The food is delicious! I will always return. A lovely experience in every way.,"Reviewed December 20, 2021 ",Date of visit: November 2021,,,
93. Accents Table Bourse,https://www.tripadvisor.com/Restaurant_Review-g187147-d11909110-Reviews-Accents_Table_Bourse-Paris_Ile_de_France.html,MICHELIN,182 reviews,"French, European",$$$$,,“A food experience off the conventions”,"“A culinary voyage, one Michelin star”",4.5,Accents Table Bourse,Benjamin-traveler,"A culinary voyage, one Michelin star","Here you let the chef decides for you  - ""carte blanche"" prix fixe lunch for ~50 EUR. Very inventive and elaborated cuisine. Excellent technique, very refined mixes of flavors. Maybe too much sometimes? In any case, you will not forget the experience. One Michelin star.",Reviewed 1 week ago ," <img src=""https://media-cdn.tripadvisor.com/media/photo-l/21/f5/7f/8d/dessert-at-accents.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""569737101"" /> >",196 reviews,,
94. Le Pavillon de la Grande Cascade,https://www.tripadvisor.com/Restaurant_Review-g187147-d718677-Reviews-Le_Pavillon_de_la_Grande_Cascade-Paris_Ile_de_France.html,MICHELIN,"1,061 reviews","French, European",$$$$,,“C'est magnifique y'all!!”,“Honeymoon Dinner”,4.5,Le Pavillon de la Grande Cascade,FoxandDana,Honeymoon Dinner,"Husband and I decided to eat here after lots of research as the pinnacle meal of our honeymoon. The Grande Cascade so greatly exceeded our expectations in terms of food, service and atmosphere that we would give it 100/5 stars if possible. Yes it is pricey, but if you are looking for an out of this world experience and courses that flow together into a meal that is a work of art, then this is the place for your special occasion.
We did the exceptional dinner package and loved every bite!","Reviewed November 8, 2021 ",Date of visit: November 2021,,,
95. Frederic Simonin,https://www.tripadvisor.com/Restaurant_Review-g187147-d1813104-Reviews-Frederic_Simonin-Paris_Ile_de_France.html,MICHELIN,412 reviews,"French, European",$$$$,,“Great lunch”,“Paris”,4.5,Frederic Simonin,Poleposition1,Paris,"One of the best in Paris, Robouchon legacy very well represented  degustation menu a must one of the Michelin stars","Reviewed December 8, 2019 ",Date of visit: December 2019,2 reviews,1  ,
96. La Scene Par Stephanie Le Quellec,https://www.tripadvisor.com/Restaurant_Review-g187147-d19213280-Reviews-La_Scene_Par_Stephanie_Le_Quellec-Paris_Ile_de_France.html,MICHELIN,124 reviews,"French, Healthy",$$$$,,“an experience really worth 2 stars”,“La Scene”,4.5,La Scène Par Stéphanie Le Quellec,Arnaud S,Overpriced,"Nice calm atmosphere with good service ( young waiters but motivated)
Menu is too small ( 4 appetisers, 4 main course and 2 deserts))
Quality of products are fantastic but portion in the plate specially for gambas was a rip off ( 115 euros for 2 gambas)
Lucky we got some bread and butter is fantastic

From our point of view , it s way too expensive

Ps: waiter got a nice move serving us a little additional champagne which was sweet of him but 33 euros for a brut of laurent Perrier",Reviewed 2 weeks ago ,Date of visit: January 2022,,,
97. Le Boudoir,https://www.tripadvisor.com/Restaurant_Review-g187147-d1035413-Reviews-Le_Boudoir-Paris_Ile_de_France.html,MICHELIN,611 reviews,Opens in 7 min,$$$$,,“A French restaurant not to miss while in...”,“✨”,4.5,Le Boudoir,242anastasiyav,✨,"Highly recommend. Delicious food, kind of family service. Enjoyed everything a lot. Thank you for Shef, service and owner 💜","Reviewed November 15, 2021 "," <img src=""https://media-cdn.tripadvisor.com/media/photo-l/21/65/38/ef/caption.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""560281839"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/21/65/38/f0/caption.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""560281840"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/21/65/38/f1/caption.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""560281841"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/21/65/38/f2/caption.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""560281842"" /> >",6 reviews,,
98. Oka,https://www.tripadvisor.com/Restaurant_Review-g187147-d12503508-Reviews-Oka-Paris_Ile_de_France.html,MICHELIN,206 reviews,"Brazilian, Fusion",$$$$,,“Superb mix”,“Interesting Franco Brazilian fusion...”,4.5,Oka,Spyridon_B09,Interesting Franco Brazilian fusion cuisine,"The place
We visited OKA as we would like to explore something different during our stay in Paris. The place was small and cozy at a peaceful neighborhood with a great advantage of having direct eye contact with the cuisine.

The wine
The wine list was good although not as rich as expected for a Michelin starred restaurant. Also the prices were 3x compared to the prices sought at a wine shop which is considered as expensive. We ended up with the wine pairing choice to accompany our diversified menu at the cost of €60 per person. The selection overall was good with the highlight the dry porto served at the end.

The menu
The restaurant offered only the option for its “blind” heritage menu which consisted of 4 dishes plus two desserts at the price of €85 per person. The restaurant prepares its own butter from cachaca which was very interesting. The main attraction was a dish with salsify and a creamy sauce. The other two scallop dishes were nice. The beef and beans from Amazon dish could become better (the beans should have been boiled a little bit more and with more salt as well as for beef one might expect picanha in a Brazilian restaurant for more intense flavor). Desserts were also good. In summary, all dishes in the menu had a consistency like all tracks in a movie soundtrack.

The staff
The staff was very professional and friendly, always willing to add value in the experience.

The value
For all the above plus two glasses of champagne (at the cost of €44 in total) we paid €344. The price was normal for this type of restaurant except the €44 for two glasses of champagne which is ridiculously expensive.

The conclusion
The restaurant has good standards. The menu is interesting as it combines french cuisine with Brazilian ingredients and the staff was very friendly. As such the place worths a try.","Reviewed January 5, 2020 ",Date of visit: January 2020,,,
99. Le Baudelaire,https://www.tripadvisor.com/Restaurant_Review-g187147-d2307300-Reviews-Le_Baudelaire-Paris_Ile_de_France.html,MICHELIN,448 reviews,"French, European",$$$$,,“Beautiful tea time”,“Just Wonderful”,4.5,Le Baudelaire,GolfLaQuinta,Just Wonderful,"We enjoyed everything about this restaurant, from its ambiance to the service to the cuisine. It is truly a delight. We had the Menu Découvert which is always a bit fraught with gustatory danger since it is a “mystery” menu. I did give the server a short list of things I do not want to eat (escargot, octopus and squid), and my husband eats everything. We are glad we trusted this chef because we were rewarded with each bite of each of the four courses being absolutely delicious! We live in France and visit Paris often. We rarely go back to the same restaurant because there are so many to choose from; but this one we will definitely return to!",Reviewed 5 weeks ago ,Date of visit: January 2022,,,
100. Restaurant Pilgrim,https://www.tripadvisor.com/Restaurant_Review-g187147-d13498074-Reviews-Restaurant_Pilgrim-Paris_Ile_de_France.html,MICHELIN,127 reviews,"French, European",$$$$,,"“Great evening, delicious meal”",“Intimate and surprising restaurant with...”,4.5,Restaurant Pilgrim,ChienATTW,Intimate and surprising restaurant with professional team,"This was our first Michelin star restaurant and the experience was perfect. We were seated near the window and had a great view of the entire restaurant and the open kitchen. the Meal was very sophisticated and surprising, and I could feel the summer flavors that the chef brought to the table. The current chef, Yoriko, was very young and talented! we have the honor to met her after the dinner when she said goodbye at the door. Thank you! restaurant pilgrim.

食物非常的美味，我喜歡整個餐廳寬大的空間及帶給我的舒適感。主廚非常年輕且有才華，所以的料理都非常令人驚喜。推薦第一次品嘗米其林星級餐廳的人來嘗試。","Reviewed July 15, 2021 ",Date of visit: July 2021,,,
101. Will,https://www.tripadvisor.com/Restaurant_Review-g187147-d6550686-Reviews-Will-Paris_Ile_de_France.html,MICHELIN,335 reviews,"French, European",$$$$,,“Unique place”,“Excellent close to Gare de Lyon”,4.5,Will,SouthSea1991,Excellent close to Gare de Lyon,"Searched out this restaurant from Trip advisor for a nice lunch at last minute booking with intention to find a local French restaurant. A French-speaking Englishman friend helped me book it but he said they are not native French; let us see. When we arrived at the restaurant, I did not find it comfortable to see all serving staff were Asians; no discrimination but just looking for French food from my intention. Humble setting with little space!
Order the set menu items- raw scallop as starter and pigeon as main, finished with apple dessert. Please read the menu I attached.
We were extremely satisfied with the taste, the presentation; actually I did not make reviews for long but today as the food was so good that I must write this review to share! Wonderful food and price very reasonable!","Reviewed February 23, 2020 ",Date of visit: February 2020,,,
102. Bistrotters,https://www.tripadvisor.com/Restaurant_Review-g187147-d719507-Reviews-Bistrotters-Paris_Ile_de_France.html,MICHELIN,"2,380 reviews","French, European",$$ - $$$,Taking safety measures,“Great food;  great service.  Unique food...”,“Memorable birthday lunch”,4.5,Bistrotters,jouberfr,Memorable birthday lunch,My husband and I went there for lunch to celebrate my 50th birtday.  Online booking was easy.  Waitress was very helpful and friendly.  The food was great - as expected.  Portions were on the large side and we left the restaurant completely happy.,Reviewed 2 weeks ago ,Date of visit: January 2022,1 review,,
103. Pierre Sang on Gambey,https://www.tripadvisor.com/Restaurant_Review-g187147-d7130375-Reviews-Pierre_Sang_on_Gambey-Paris_Ile_de_France.html,MICHELIN,662 reviews,"Korean, French",$$$$,,“Incredible experience!”,“Food and atmosphere to remember”,4.5,Pierre Sang on Gambey,NicolaiF523,Food and atmosphere to remember,"Wonderful food, great atmosphere in the bistro and a memorable experience! We just walked up and lucky us, a reservation had remained open. Delicious five course menu with food that just melted in your mouth. What a positive and delicious experience!","Reviewed October 10, 2021 ",Date of visit: October 2021,32 reviews,,
104. Korus,https://www.tripadvisor.com/Restaurant_Review-g187147-d11926284-Reviews-Korus-Paris_Ile_de_France.html,MICHELIN,161 reviews,"French, European",$$$$,,“Come before it becomes a Michelin...”,“Relaxed Ambience. Creative edgy food.”,4.5,Korus,roberthebruce,Relaxed Ambience. Creative edgy food.,"This was an interesting mix. It is a tasting menu at the tables - but there are a few dishes to choose at the counter I think. The ambience was very relaxed but the food was quite edgy. Two or three times my brain said I shouldn’t be enjoying it but my mouth confirmed it was delicious - cauliflower and white chocolate, mushroom and Jerusalem artichoke dessert. A shaky start service wise - lukewarm welcome and we had some restrictions on ingredients that seemed to cause more consternation than it should have at this level - and price. For non meat-eaters there was no obvious vegetarian alternative. However they recovered from a rocky start and we really enjoyed the evening. Worth the experience for a special occasion - made out trip to Paris a bit more special.","Reviewed November 29, 2021 ",Date of visit: November 2021,,,
105. Nomicos (ex- Les Tablettes),https://www.tripadvisor.com/Restaurant_Review-g187147-d718736-Reviews-Nomicos_ex_Les_Tablettes-Paris_Ile_de_France.html,MICHELIN,832 reviews,"French, European",$$$$,,“Where amazing cuisine meet outstanding...”,“One of the best restaurants I have ever...”,4.5,Nomicos (ex- Les Tablettes),Josh E,One of the best restaurants I have ever been to,Not sure who is giving this place bad reviews - the meal was outstanding and the service excellent. Make sure the have the pasta with truffle and the absinthe granita. Will definitely be coming back here.,"Reviewed July 23, 2021 ",Date of visit: July 2021,6 reviews,,
106. Augustin Bistrot,https://www.tripadvisor.com/Restaurant_Review-g187147-d7604669-Reviews-Augustin_Bistrot-Paris_Ile_de_France.html,MICHELIN,706 reviews,Open Now,$$ - $$$,,“Nice bistro nearby montparnasse”,"“Great value, great experience”",4.5,Augustin Bistrot,Heather550_13,"Great value, great experience","Bustling on a Tuesday evening, great atmosphere. The food is excellent for a brasserie, better quality than I expected, great value. The staff are attentive and friendly.","Reviewed October 19, 2021 ",Date of visit: October 2021,60 reviews,,
107. Tomy & Co,https://www.tripadvisor.com/Restaurant_Review-g187147-d11208448-Reviews-Tomy_Co-Paris_Ile_de_France.html,MICHELIN,386 reviews,"French, European",$$$$,,“Happening place in the 7th!”,“Storytelling Through Gastronomy”,4.5,Tomy & Co,Krazban,Storytelling Through Gastronomy,"A truly impressive restaurant worthy of its Michelin star, we enjoyed three courses comprising of highly artisanal and nuanced cuisine. Chef Tony Gousset told us a story with his dishes which conveyed tastes bringing you anywhere from Southeast Asia, Southern Europe and of course Paris. I enjoyed the cote de boeuf and my wife loved the sea bream. My 8 year son also enjoyed a more simple version of the same steak. The head waiter recommended a Pinot Noir which, while young, beautifully matched each course with its virsatility. The waiters, many of Asian background, were gracious and worked hard to make your meal memorable. I am giving my experience 5 stars despite the fact that the lone non-Asian French server (possibly the sommelier?) made obvious gestures at us for dining with our two school age children (“no pizza here!” He’d shout as he marched passed us to the kitchen). However it says a lot that I didn’t care about this moron to let it phase our good experience. We truly enjoyed the food here and would like to return.",Reviewed 2 weeks ago ,Date of visit: November 2021,,,
108. L'Oiseau Blanc Restaurant,https://www.tripadvisor.com/Restaurant_Review-g187147-d6975406-Reviews-L_Oiseau_Blanc_Restaurant-Paris_Ile_de_France.html,MICHELIN,"1,074 reviews","French, European",$$$$,Taking safety measures,"“Excellent food, service, wine list”",“Excellent as always!!!”,4.5,L'Oiseau Blanc Restaurant,sallyann4412016,Excellent as always!!!,"The team at Oiseau blanc are a first class outfit.
From arrival to departure you are treated as expected in an establishment of this caliber. We started with delicious amuse Bouche followed by scrumptious delights fro the chef. Truffle ravioli, scallop bites and mushroom pate. Hubby had Oysters to start with leeks followed by Sea bream and citrus carrot sauce. I had leeks with truffles and Turbot which was divine. The wine was served at the appropriate times and we thoroughly enjoyed possibly the best lunch of our trip. If you want a delicious lunch overlooking the Eiffel Tower, don’t hesitate….visit oiseau blanc.
I would like to especially thank Gregory for making our lunch a memorable one.
See you again soon","Reviewed December 27, 2021 ",Date of visit: December 2021,,,
109. Neva Cuisine,https://www.tripadvisor.com/Restaurant_Review-g187147-d2289255-Reviews-Neva_Cuisine-Paris_Ile_de_France.html,MICHELIN,535 reviews,French,$$$$,,“Still going strong”,“Wonderful dinner”,4.5,Neva Cuisine,agatemg,"Great Place , great food! 🇫🇷","Amazing dinner! Very delicious food, great staf, and price very reasonable. 100% recommend 
P.s. College foreign travellers- staff speaks quite good english. Plus you can reserve a table trough restaurants website.",Reviewed yesterday ," <img src=""https://media-cdn.tripadvisor.com/media/photo-l/22/07/ac/99/amazing-dinner-very-delicious.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""570928281"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/22/07/ac/9a/amazing-dinner-very-delicious.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""570928282"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/22/07/ac/9b/amazing-dinner-very-delicious.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""570928283"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/22/07/ac/9c/amazing-dinner-very-delicious.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""570928284"" /> >",5 reviews,,
110. Caius,https://www.tripadvisor.com/Restaurant_Review-g187147-d695238-Reviews-Caius-Paris_Ile_de_France.html,MICHELIN,508 reviews,"French, European",$$$$,,“Not to be missed.”,“nice option for lunch”,4.5,Caius,JulienV_11,nice option for lunch,"We had a nice lunch there, quality price ratio is quite good, not. Lunch Menu at 45 euros is nice, i really enjoyed the dishes. The restaurant is nice, and so is the service","Reviewed October 22, 2021 ",Date of visit: October 2021,272 reviews,2  ,
111. Restaurant Le Meurice Alain Ducasse,https://www.tripadvisor.com/Restaurant_Review-g187147-d719160-Reviews-Restaurant_Le_Meurice_Alain_Ducasse-Paris_Ile_de_France.html,MICHELIN,981 reviews,French,$$$$,,“Beautiful place and excellent cuisine”,“New Year dinner with a bang”,4.5,Restaurant Le Meurice Alain Ducasse,IFDtravel,New Year dinner with a bang,the Hotel Meurice has been a lifelong favorite for me in Paris. Our family chose to celebrate the new year at the Ducasse restaurant . What a way to let 2021 go and cheer 2022 ! The menu was simply exquisite with caviar and truffle highlighting several dishes . the succession of gastronomic delights was administered with small portions so that we never felt overstuffed . Dancing was sadly not an option despite the excellent jazz combo but we had the whole chef brigade banging away on cooking pots to mark midnight ! If I have to select some areas for improvement the dessert ( champagne lemon) was not totally up to Cedric Grolet world reputation . From the welcoming by Sasha to our departure with Alain ducasse chocolates definitely a night to remember.,Reviewed 2 weeks ago ,Date of visit: December 2021,,,
112. Le Grand Restaurant Jean francois Piege,https://www.tripadvisor.com/Restaurant_Review-g187147-d2212971-Reviews-Le_Grand_Restaurant_Jean_francois_Piege-Paris_Ile_de_France.html,MICHELIN,406 reviews,French,$$$$,,“Sweetbread!”,“A 2-star Michelin with the aspirations to...”,4.5,Le Grand Restaurant Jean françois Piège,joshmunsee,A 2-star Michelin with the aspirations to be more.,"This is a defining restaurant experience well worthy of its 2-star Michelin rating - that feels like it's aspiring to be a 3-star and nearly there. The venue is small, but modern and gorgeous - perfect for its core focus to provide an exquisite dining experience. There is only 1 service per night, so the experience is all about you and enabling your experience as far as your curiosity dares to go. The menu consists of the seasonal tasting menu with an option to include 2 additional dishes (don't skip these). Each dish is expertly plated to support the dish's unique narrative. Throughout the tasting menu, each dish built upon the last with a special and rare cohesion given the journey across an assortment of amuse-bouche courses, the most beautifully presented opening bread course w. accompanying escargot sauce, lentils, seabass and langoustine courses, to the main entree, the most amazing chicken breast wrapped in black truffle and finally into a specially aged brie cheese and the iconic Le Blanc a Manger (and every dish in between). Beyond the stunning dinner service, the staff provided a very thoughtful and impeccable service and experience, from taking you to see the kitchen firsthand and receiving a little gift from the chef, to sharing the story behind the choice of dinner knife you use throughout service, native to France and crafted in the Aveyron wine area. This is a can't miss dining experience if you're looking for a modern, innovative yet thoughtful experience that leaves no detail unattended.",Reviewed 3 weeks ago ,Date of visit: December 2021,,,
113. Le George,https://www.tripadvisor.com/Restaurant_Review-g187147-d8683803-Reviews-Le_George-Paris_Ile_de_France.html,MICHELIN,655 reviews,"Mediterranean, Italian",$$$$,Taking safety measures,"“Exceptional food, decor, service”",“Oh La La”,4.5,Le George,Elmo189,Oh La La,The food was superb. Especially recommend the Crudo de Thon! The atmosphere was buzzing. Service was spot on. Definitely worth a visit - without a doubt.More,Reviewed 1 week ago ,Date of visit: January 2022,9 reviews,,
114. Phillipe Excoffier,https://www.tripadvisor.com/Restaurant_Review-g187147-d3650760-Reviews-Phillipe_Excoffier-Paris_Ile_de_France.html,MICHELIN,455 reviews,Open Now,$$$$,,"“Excellent food, wine & service!”",“Outstanding experience”,4.5,Phillipe Excoffier,595CathyD,Outstanding experience,"This is the kind of small owner-run restaurant that makes the Paris dining scene so wonderful.

We were planning a trip to Paris over the holidays and booked a New Year's Eve dinner at Phillipe Excoffier for our family. One of our adult children has several allergies, and Michele Excoffier was tireless in working with us to adjust the menu so that she could have as elegant an experience as the rest of us. We emailed back and forth so many times that I felt that we had gotten to know each other. I was very excited to spend the holiday with Michele and Phillipe. As is customary for a holiday dinner, the restaurant asked us to pay them a deposit to hold the table.

Sadly, we had an exposure to Covid just before our departure and ended up getting the virus, so we had to cancel our Paris trip. Michele and Phillipe were more than gracious about returning the deposit, which they did not have to do.

We cannot wait to return to Paris and visit Phillippe Excoffier.","Reviewed December 29, 2021 ",Date of visit: December 2021,,,
115. Alleno Paris,https://www.tripadvisor.com/Restaurant_Review-g187147-d7205470-Reviews-Alleno_Paris-Paris_Ile_de_France.html,MICHELIN,838 reviews,"French, European",$$$$,,“Very Classy place”,“Simply outstanding and redefining 3 star...”,4.5,Alleno Paris,ANA7808,Simply outstanding and redefining 3 star dining experience,"Wow. This is probably the most important fine dining restaurant to visit right now. The chef and his team deliver a simply flawless performance. This begins before you even arrive to the restaurant with a phone call from one of the restaurant's managers to check on preferences, special occasion etc. Basically 5 minutes to ensure the highest level of personalization. Of course there are very few places that offer Ledoyen's sense of arrival and such a beautiful historic room. And then you sit down. First comes the amazing grower champagne and gone are the canapes. Instead come two amazing amuse bouche prepared table side. Once of them fancy: caviar, cream etc and the other as simple as can be: a little bread, a little sauce to be eaten with your fingers. Wow!

And then comes a succession of dishes, one more amazing than the other. Like watching a ballet between the kitchen and servers. Unbelievable. The hardest part was deciding which main course to select...so we selected 3 for the two of us and each was simply outstanding.

Highlights for us were the white truffle and egg,, langoustine, turbot on this gorgeous bed of garlic and veal sweetbreads.

Both chefs (Yannick and Martino) visited the tables multiple times which is awesome and unusual. These are real chefs who work in their kitchens every day and it's refreshing to see.

All in all, i really tried hard to find a single fault...but i could not. If you are looking to catch a glimpse of what 3 star Michelin experience should be/could be or if you are just looking for a magical night out then you should not miss Alleno. Prepare to be blown away.","Reviewed October 13, 2020 ",Date of visit: October 2020,,,
116. Caffe Stern,https://www.tripadvisor.com/Restaurant_Review-g187147-d7132782-Reviews-Caffe_Stern-Paris_Ile_de_France.html,MICHELIN,428 reviews,"Italian, European",$$$$,,“Delicious food in an unique setting”,"“Amazing food, ignore negative reviews!”",4.5,Caffe Stern,megsies,"Amazing food, ignore negative reviews!","The food was amazing. We both started with the poached egg which was delicious.
I was also highly recommend the tiramisu!
Could do with a bit of background music playing but other than that, top restaurant and would dine there again out of the thousands of restaurants.
Special thanks to David for our bottle of 'fanny'!","Reviewed February 28, 2020 ",Date of visit: February 2020,,,
117. Elmer,https://www.tripadvisor.com/Restaurant_Review-g187147-d9698438-Reviews-Elmer-Paris_Ile_de_France.html,MICHELIN,331 reviews,"French, European",$$$$,,“Second visit more consistent; excellent...”,“Excellent food and wine in relaxed...”,4.5,Elmer,Monique K,Excellent food and wine in relaxed setting - the perfect dinner,"We had a really nice dinner on December 30 2021 at Elmer. Good service, nice setting, modern but cozy, with open kitchen. The food was very nice, and would recommend the lamb. Everything was wonderfully prepared and rather delicate but also simple and beautiful. The sommelier paired our meal, both the appetizer and main with wonderful organic wines (including the organic red feom Marsannay). The only minor point is that tables are really close to one and another, but otherwise this is a perfect choice and I will go back the next time I’m visiting Paris. ",Reviewed 5 weeks ago ,Date of visit: December 2021,,,
