Title,Info,badgetext,ratingdate,partial_entry,View,Number,Field2,Field3
Fine dining without the stuffiness.,NotesOfJohn,71 reviews,"Reviewed April 28, 2018 ","Septime is near impossible to get a booking for, but if you're lucky, you're in for a treat.

We went for lunch for which they offer a 4 course set menu for 42 euros.

All the food was creative, well executed and of great quality....More",Date of visit: April 2018,,"<span class=""ui_bubble_rating bubble_50""></span>",
Interesting Lunch Menu,PleasureofLifefbyMsS,30 reviews,"Reviewed April 25, 2018 ","It is not a restaurant that you can book a table a day or two before the day you want to eat there,  but it totally is worthy of the efforts. I will try to get a table next time when I visit Paris. 

The...More",Date of visit: April 2018,,"<span class=""ui_bubble_rating bubble_50""></span>",
Reservation fiasco,Chris47n,44 reviews,"Reviewed April 24, 2018 ",It’s hard enough to make a booking or get a response from this group if you don’t have a booking. I’ve been in Paris two months already and a few weeks ago was able to secure a lunch spot. When booking online I was not...More,Date of visit: April 2018,2  ,"<span class=""ui_bubble_rating bubble_20""></span>",
"Creative, Well-Executed Food",jclaybaldwin,24 reviews,"Reviewed April 22, 2018 ","Maybe I went in with lower expectations than the hype surrounding Septime (mostly due to the other reviews here), but I came away talking about some of the dishes here more than the other restaurants we ate at. Which I think says something. In particular,...More",Date of visit: April 2018,,"<span class=""ui_bubble_rating bubble_40""></span>",
Lunch prix fixe,Nicholas S,17 reviews,"Reviewed April 16, 2018 ",Wife and I went to lunch here on our first day in Paris. We were very excited to get reservations for this difficult restaurant to get reservations. The lunch was very good and was an excellent value for a lunch service with the quality of...More,Date of visit: October 2017,1  ,"<span class=""ui_bubble_rating bubble_40""></span>",
It’s just okay if you are a foodie,Lucia S,34 reviews,"Reviewed April 14, 2018 ","I went for lunch (couldn’t get dinner reso). Wednesday, April 3rd.

Ok, so if you are from any cosmopolitan city in the world with foodie scene, you will be underwhelmed. Yes, trust me you will. 

My meal had homemade grissini, skinny breadsticks and an overly...More",Date of visit: April 2018,4  ,"<span class=""ui_bubble_rating bubble_30""></span>",
"Cozy atmosphere,friendly service, good food",emilyv536,8 reviews,"Reviewed April 8, 2018 ",I had tried everyday to get a reservation at Septime during the 3 weeks leading up to our trip to Paris.  We decided to see what would happen if we showed up at the opening of the restaurant to see if there were any last...More,Date of visit: March 2018,1  ,"<span class=""ui_bubble_rating bubble_40""></span>",
Underwhelmed,deirdres2018,5 reviews,"Reviewed April 5, 2018 ","I was overall disappointed and underwhelmed by the food I experienced at Septime. As a top 50 rated restaurant with a michelin star I expected dishes that were more inventive and flavorful. We did dine at lunch, but I was ensured that lunch was just...More",Date of visit: April 2018,1  ,"<span class=""ui_bubble_rating bubble_30""></span>",
Underwhelmed,deirdres2018,5 reviews,"Reviewed April 5, 2018 ","I was overall disappointed and underwhelmed by the food I experienced at Septime. As a top 50 rated restaurant with a michelin star I expected dishes that were more inventive and flavorful. We did dine at lunch, but I was ensured that lunch was just...More",Date of visit: April 2018,1  ,,
Best White Asparagus Ever,lowelevin,9 reviews,"Reviewed March 30, 2018 ","Food was great, service was great, but in particular when I asked how the fabulous white asparagus course was prepared, I received a direct answer and then a pause and then full credit was given to the asparagus that was delivered that morning.  The staff...More",Date of visit: March 2018,,,"<span class=""ui_bubble_rating bubble_50""></span>"
Wonderful gourmet experience,jennyw3922016,124 reviews,"Reviewed March 13, 2018 ","The menu gastronomique is beautifully balanced, the food is creative without being fussy and the service is good. For me, the courses flowed from one to the next. Highlights were white asparagus with seaweed, pigeon with vegetables served to one side and the lightest possible...More",Date of visit: March 2018,,"<span class=""ui_bubble_rating bubble_50""></span>",
Recommend,moomickey,18 reviews,"Reviewed March 12, 2018 ",Managed to get a 7:30pm reservation for 2 people. The fixed menu is 80 Euro each for 8 courses and 55 Euro for the 8 glass wine pairing; which I highly recommend. You also have access to a full wine list if you don’t fancy...More,Date of visit: March 2018,,"<span class=""ui_bubble_rating bubble_40""></span>",
A little place with great big tastes ,jond394,13 reviews,"Reviewed February 24, 2018 ","What an extravagance!
We four friends came  to Paris to have dinner here so it was always going to be special 
It’s so damned french !!
Great food served by excellent people in surroundings that are so comfortable and non invasive 
Content over style 
We...More",Date of visit: February 2018,,"<span class=""ui_bubble_rating bubble_50""></span>",
Intresting,Cbt76,207 reviews,"Reviewed February 19, 2018 ","Nice restaurant with cozy,  clean interior.  Mostly friendly staff,  good food and interesting with e.  It's a great restaurant,  but we honestly didn't really understand the hype.",Date of visit: February 2018,,"<span class=""ui_bubble_rating bubble_40""></span>",
Almost as good as Le Chateaubriant,Montparnasse71,123 reviews,"Reviewed February 4, 2018 ",I have to declare my bias (but not an 'interest'). I regard the other great tasting menu restaurant in the 11th (Le Chateaubriand) as the best and my favourite restaurant in Paris. Septime came very highly recommended however and we decided to give it a...More,Date of visit: September 2017,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Worth the reservation hassle,Michella L,13 reviews,"Reviewed January 28, 2018 ","I wasn't able to get the dinner reservation and settled for the lunch reservation. I was blown away. The taste was innovative while still really good and enjoyable until the last bite. Due to the highly reasonable price of the menu, they understandably did not...More",Date of visit: January 2018,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Superb!,Pat1970512,231 reviews,"Reviewed January 24, 2018 ",There is not much to say. It is one of the best restaurants in Paris and very hip. We took the menue and it was worth it Simply de Ö,Date of visit: January 2018,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Excellent in almost every way,wanderluster_rs,36 reviews,"Reviewed January 8, 2018 ","Firstly, get your phone on standby 21 days before the day you want to dine at Septime, because it is almost impossible to get a spot here. I set an alarm to call as soon as they opened the reservations up and the line was...More",Date of visit: December 2017,3  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Excellent in almost every way,wanderluster_rs,36 reviews,"Reviewed January 8, 2018 ","Firstly, get your phone on standby 21 days before the day you want to dine at Septime, because it is almost impossible to get a spot here. I set an alarm to call as soon as they opened the reservations up and the line was...More",Date of visit: December 2017,3  ,,
Excellent lunch,Frenchinvancouver,44 reviews,"Reviewed January 4, 2018 ","I was finally able to have lunch at Septime  Restaurant… The restaurant has one Michelin Star since 2013. This is a really understated décor with no name on the front door, only a small sign. Love the spiral staircase in the centre of the restaurant....More",Date of visit: December 2017,3  ,,"<span class=""ui_bubble_rating bubble_50""></span>"
Very special but limited menu,JosephTopTravel,46 reviews,"Reviewed December 28, 2017 ","We enjoyed our meal very much. Take under consideration a few things: it's a fixed menu, you choose the main dish from 2 options, if you don't like them so you have a problem, if you do you are lucky and enjoy the amazing food....More",Date of visit: December 2017,2  ,"<span class=""ui_bubble_rating bubble_40""></span>",
Amazing experience! Off the beaten path....,petualang,32 reviews,"Reviewed December 23, 2017 ","It wasn't easy to get a table here as they don't accept email or online booking. They only take booking up to three weeks in advance. And you have to call directly. However, it was all so worth the experience. I love the casual ambiance....More",Date of visit: December 2017,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
What an experience!,jm16,9 reviews,"Reviewed November 11, 2017 ",Not easy to get reservations. So happy we did. it was a great experience.  The food was fantastic. The staff was so friendly and the wine pairing was perfect. Love the interior and you must take a look out the back where the washrooms are....More,Date of visit: November 2017,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Don't believe the hype,Laura S,31 reviews,"Reviewed November 9, 2017 ",It might have been an off day but we were not impressed.  The menu was eh and the service was worse.  I watch the kitchen staff break down the kitchen while I waited 40 mins for my desert.  The wine pairing was also poured out...More,Date of visit: September 2017,3  ,"<span class=""ui_bubble_rating bubble_30""></span>",
Superb Meal,Oaklandish3,322 reviews,"Reviewed November 8, 2017 ","Other than its reservation system which is super hard for anyone from abroad - why not let there be some seats for on-line reservations?  Our connection in Paris actually had to go to the restaurant twice in order to get us a reservation.  However, we...More",Date of visit: October 2017,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Lunch; Four courses of Boredom. ,W3616OTchristianb,154 reviews,"Reviewed October 10, 2017 ","When I ate at Septime in 2015, I was amazed by the quality of the food, the inventive pairings and the simple beauty of the presentation. My visit this time left me completely cold. I couldn't say that it was bad and I'm not upset...More",Date of visit: October 2017,5  ,"<span class=""ui_bubble_rating bubble_30""></span>",
Just Wow!,Payam650,22 reviews,"Reviewed October 4, 2017 ",This is one of those modern amazing restaurants that makes things so superbly that your mind is blown. I don't even like tuna but the waitress told me to try it and it was so great!,Date of visit: September 2017,,"<span class=""ui_bubble_rating bubble_50""></span>",
Perfect evening,travel2299,99 reviews,"Reviewed October 2, 2017 ","The staff has been very welcoming and friendly, the atmosphere is very relaxed. The food is delicious, we had the wine pairing, which was a very interesting selection and both sommeliers have been very enthusiastic explaining the wines, which has been great fun.",Date of visit: September 2017,,"<span class=""ui_bubble_rating bubble_50""></span>",
Perfect evening,travel2299,99 reviews,"Reviewed October 2, 2017 ","The staff has been very welcoming and friendly, the atmosphere is very relaxed. The food is delicious, we had the wine pairing, which was a very interesting selection and both sommeliers have been very enthusiastic explaining the wines, which has been great fun.",Date of visit: September 2017,,,
Worthy of the hype!!!,Nishal M,15 reviews,"Reviewed September 9, 2017 ",The food is delicious - a marriage of complex flavours and techniques that are incredibly well executed! The wine is worth a visit on its own. The setting is casual and comfortable and the staff are superb. Septime represents incredible value for money - if...More,Date of visit: September 2017,,,"<span class=""ui_bubble_rating bubble_50""></span>"
Wow...,TammyN125,19 reviews,"Reviewed August 21, 2017 ","One of our best meals in Paris. However, if you're looking for ""classic"" French onion soup, pate, baked brie, coq au vin, etc., this isn't for you. Each dish was artfully prepared with fresh, local ingredients that are also sustainable. Flavors were bright; wines were...More",Date of visit: July 2017,2  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Very good but not great,jledesma,98 reviews,"Reviewed July 30, 2017 ","We had lunch at Septime in Paris, with very high expectations because of very good reviews.  The tuna was very good, but the baby hen was a bit disappointing.  Dessert was great though.  Service was great and the staff was very friendly.  Could possibly return...",Date of visit: July 2017,2  ,"<span class=""ui_bubble_rating bubble_40""></span>",
Glad I could try it!,amanda benton d,55 reviews,"Reviewed July 26, 2017 ",Scored a lunch reservation so I was happy to finally get to try Septime as everyone raves about it! The neighborhood is definitely off the beaten path and a very different part of Paris than I've had the chance to explore so it was neat...More,Date of visit: July 2017,,"<span class=""ui_bubble_rating bubble_40""></span>",
"Refined cuisine, eclectic environment ",royc52,70 reviews,"Reviewed July 25, 2017 ","7 course degustacion menu with superb wine paring, concentrated on vegetables, light on fauna 
Service was attentive and faultless 
Decor wasn't distressed postmodern",Date of visit: July 2017,2  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Dinner at Septime,LajlaKjohansen,22 reviews,"Reviewed July 19, 2017 ","Fantastisk middag, virkelig god mad og vin. Super service, dejligt at personalet kunne både dansk, engelsk og fransk ❤️ 
Amazing dinner, really good food and wine. Super service and really nice that the staff spoke both Danish, English, and French ❤️",Date of visit: July 2017,,"<span class=""ui_bubble_rating bubble_50""></span>",
Great experience,Wilson L,295 reviews,"Reviewed July 18, 2017 ",Highly anticipated visit. Didn't really disappoint. Every dish was delicious. They accomodated us to a nice table for 3 when 1 person in our party cancelled. Service was good. Lost count of how many dishes we had and ordered another bottle of wine right before...More,Date of visit: July 2017,1  ,"<span class=""ui_bubble_rating bubble_40""></span>",
Perfect restaurant,996stephanev,176 reviews,"Reviewed July 17, 2017 ",Been fighting for a table for 2 years but the waiting is really worth it. The food is really perfect. Will go again and again,Date of visit: July 2017,,"<span class=""ui_bubble_rating bubble_50""></span>",
First class AND reasonably priced!,n8fire,253 reviews,"Reviewed July 10, 2017 ","No wonder it's hard to get a reservation at Septime.  The food is fanstastic and you won't break the bank eating there.  As a matter of fact we were only able to get a reservation for lunch.  We were not disappointed.

At Septime you are...More",Date of visit: May 2017,,"<span class=""ui_bubble_rating bubble_50""></span>",
First class AND reasonably priced!,n8fire,253 reviews,"Reviewed July 10, 2017 ","No wonder it's hard to get a reservation at Septime.  The food is fanstastic and you won't break the bank eating there.  As a matter of fact we were only able to get a reservation for lunch.  We were not disappointed.

At Septime you are...More",Date of visit: May 2017,,,
Top Notch meal and creativity,stuhef,11 reviews,"Reviewed June 30, 2017 ","This was one of my favorite meals I've ever had in Europe. The tasting menu of six courses was full of creativity and had a great mix of wonderful flavors. We went on a Thursday night which didn't serve meat, but did have seafood. The...More",Date of visit: June 2017,,,"<span class=""ui_bubble_rating bubble_50""></span>"
"Amazing, sublime, a reputation well deserved",100CountriesNow,55 reviews,"Reviewed June 22, 2017 ","I finally got a reservation at Septime, after poking around on the internet for the better part of two months. I invited some friends along. It was a hot day in Paris (35 degrees) and the restaurant has no air conditioning, but the food managed...More",Date of visit: June 2017,,"<span class=""ui_bubble_rating bubble_50""></span>",
Amazing creativity ,BiboHH,14 reviews,"Reviewed June 2, 2017 ",One of my favorite restaurant in Paris. The menu changes every day with excellent products. Amazing creativity and surgical precision. Only drawback: it's very hard to book a table.,Date of visit: September 2016,,"<span class=""ui_bubble_rating bubble_50""></span>",
As always ,palatinohospitality,128 reviews,"Reviewed June 2, 2017 ",The food was really innovative as always. Quite impressed by the consistency of the quality over the years. Staff remains nice and professional which is also impressive in Paris :). Good experience. But please improve the quality of the booking!!,Date of visit: June 2017,6  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Not-so-simply great.,Bill R,127 reviews,"Reviewed May 30, 2017 ",the casual atmosphere hides just how complex and rewarding this restaurant is. This is my second visit here ( the first was two years ago)  . The set menu on this particular evening was heavily vegetarian and always delicious and surprising.  The pidgion was especially...More,Date of visit: May 2017,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
First class restaurant,Ian_Stanton,25 reviews,"Reviewed May 30, 2017 ","This is a fabulous restaurant. My friends and I had the tasting menu which h was described to be inspired by seasonal ingredients. Every dish that was brought to us was described by the waiting staff, and accompanied by a matched wine. The food and...More",Date of visit: May 2017,,"<span class=""ui_bubble_rating bubble_50""></span>",
Still wonderful,rumtytum,60 reviews,"Reviewed May 27, 2017 ","This is our 3rd visit to Septime in 5 years and it's as good as ever, which is just about as good as it gets. Every dish was perfect in its way and every course followed the course before elegantly and logically. The service is...More",Date of visit: May 2017,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Lovely Dinner ,blake166,17 reviews,"Reviewed May 20, 2017 ","Overall, highly recommend. We were told by our hotel that mostly Americans would be there, but we were pleasantly surprised to find it more of a local spot. If you don't speak French don't let that dissuade you as most of the staff speaks great...More",Date of visit: February 2017,1  ,"<span class=""ui_bubble_rating bubble_40""></span>",
Flavors you never knew would mix well together ,isableski,51 reviews,"Reviewed May 17, 2017 ","The experience at Septime is once- in-a-lifetime. We arrived at the earliest seating time which allowed us to enjoy the ambiance. We then had some appertifs, the daily infused water (which is highly recommended if you take the metro to the restaurant on a warm...More",Date of visit: May 2017,,"<span class=""ui_bubble_rating bubble_50""></span>",
Flavors you never knew would mix well together ,isableski,51 reviews,"Reviewed May 17, 2017 ","The experience at Septime is once- in-a-lifetime. We arrived at the earliest seating time which allowed us to enjoy the ambiance. We then had some appertifs, the daily infused water (which is highly recommended if you take the metro to the restaurant on a warm...More",Date of visit: May 2017,,,
"Very good restaurant, not nothing to write home about",edsilver315,19 reviews,"Reviewed April 6, 2017 ","I will say that we had a white asparagus/honey dish that was out of this world, and the desert was fantastic, too. However, I just don't get what the hype is all about. Our entree was not tasty at all. BTW, we came for lunch,...More",Date of visit: April 2017,,,"<span class=""ui_bubble_rating bubble_30""></span>"
A Very Different Dining Experience at one of Paris Hot Spots,phd2,167 reviews,"Reviewed March 28, 2017 ","Firstly if you're thinking of visiting Septime make sure you book well in advance.  You still may not get in as this is incredibly popular - out of the way, in a small space and not that easy to get to.

With its Michelin Star...More",Date of visit: March 2017,1  ,"<span class=""ui_bubble_rating bubble_40""></span>",
Not an usual starry,SaraIRIT91,35 reviews,"Reviewed March 3, 2017 ","I had an excellent time with my boyfriend during our Paris journey, we ate prearranged menu, 80€ per person, with 5 dishes. we were served by and italian somelier and we were so lucky. I really reccomend.",Date of visit: February 2017,,"<span class=""ui_bubble_rating bubble_40""></span>",
A dining experience,BremenCologne,97 reviews,"Reviewed February 3, 2017 ","This place is so popular we booked 2 months in advance for the Michelin Star restaurant and enjoyed a very pleasant evening with French friends. We had the degustation menu consisting of 6 courses that provided a real variety of tastes,all being excellent. The wine...More",Date of visit: January 2017,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
"Lovely dinner, extremely hard to get a reservation",465villel,4 reviews,"Reviewed January 30, 2017 ",I would say the whole dinner was a great experience. Interesting and new tastes but still simple enough. Wine set was extremely good and complimented the food really well. We ordered one wine set to share for two persons since it was quite a lot...More,Date of visit: December 2016,,"<span class=""ui_bubble_rating bubble_50""></span>",
Excellent!!,Pat1970512,231 reviews,"Reviewed January 21, 2017 ",We enojed it very much. The menue was just stunning and so was the service. It is very popular place in Paris at the moment. The delicious food and great wines and the faboulos atmosphere was just special. Will return soon!,Date of visit: January 2017,,"<span class=""ui_bubble_rating bubble_50""></span>",
Glad I've made it! Incredible food!,Fkest,59 reviews,"Reviewed January 21, 2017 ","Septime is an exquisite Michelin-starred restaurant in the heart of 11th district (Rue de Charonne) that serves fantastic french-driven bites. They prepare a different menu from time to time; I went for lunch and refuted the degustation alternative. Instead, I've chosen a three-course menu: (i)...More",Date of visit: January 2017,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Amazing,davyc71,20 reviews,"Reviewed December 29, 2016 ","Our hotel concierge helped us get this reservation, which I had heard was otherwise difficult to get. I had walked into this restaurant not knowing much about it other than from rave recommendations from friends.  I walked out thinking that this is one of the...More",Date of visit: March 2016,,"<span class=""ui_bubble_rating bubble_50""></span>",
difficult to reserve but was it worth it?,dennisgm,18 reviews,"Reviewed December 14, 2016 ","I researched, reviewed the various blogs and reviews and of course the web site of Septime; called and e mailed several times from 2 trips to paris and back and on the 3rd try, after 5 telephone calls, I was able to get a reservation...More",Date of visit: November 2016,2  ,"<span class=""ui_bubble_rating bubble_40""></span>",
difficult to reserve but was it worth it?,dennisgm,18 reviews,"Reviewed December 14, 2016 ","I researched, reviewed the various blogs and reviews and of course the web site of Septime; called and e mailed several times from 2 trips to paris and back and on the 3rd try, after 5 telephone calls, I was able to get a reservation...More",Date of visit: November 2016,2  ,,
Most difficult review I have written -- I so wanted to love this place,Billy R,187 reviews,"Reviewed November 20, 2016 ",What can I say?  #50 restaurant in the world.  Michelin Star.  Great reviews. I'm sorry but I was left wanting more.  It just seemed the whole place was off the night i visited.  We were promptly seated and waited approx 13 mins to have water...More,Date of visit: November 2016,5  ,,"<span class=""ui_bubble_rating bubble_40""></span>"
"Great lunch, attentive service",PermanentNomad,313 reviews,"Reviewed November 17, 2016 ","As I arrived after 2 pm only the 3 course set menu was available.  The food was delicious. The ingredients in each dish were very fresh, the presentation was beautiful and the food was very tasty.  The staff was friendly and checked to see that...More",Date of visit: October 2016,,"<span class=""ui_bubble_rating bubble_40""></span>",
Excellent food!,laurencx2020,62 reviews,"Reviewed November 11, 2016 ","Nice service and excellent meals taking in account food allergies.

Very Cosy and authentic place and the price worth it!

Not easy to book for a table...",Date of visit: March 2016,,"<span class=""ui_bubble_rating bubble_50""></span>",
Overhyped,RVAEgghead,45 reviews,"Reviewed October 26, 2016 ","My wife and I went to Septime for lunch while on vacation in Paris.  The decor is farm to table and is nice.  We had the price fix menu, which was 3 courses and 32 euro per person.  The staff was polite and spoke English....More",Date of visit: October 2016,2  ,"<span class=""ui_bubble_rating bubble_30""></span>",
Lives right up to its reputation,zana414,21 reviews,"Reviewed October 19, 2016 ","Since reservations are awfully hard to come by, you might end up there for lunch. Don't be afraid to go for the tasting menu (a great value at 60 Euros) even if it feels like an indulgence at noon. Delightful small plates, well presented and...More",Date of visit: October 2016,2  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Nice staff and good food,Cecilie Ø,1 review,"Reviewed October 15, 2016 ",Really nice restaurant with superb food. Starters were amazing. The wine package was an excellent match!,Date of visit: October 2016,,"<span class=""ui_bubble_rating bubble_40""></span>",
Wonderful lunch,Travelgirl2020,67 reviews,"Reviewed October 12, 2016 ",Had a nice lunch on a showery day in Paris.  The tables are big and set a good distance apart.  The service is casual but professional.  Limited items on menu meant that the kitchen could really focus and these where the best ingredients that day....More,Date of visit: June 2016,,"<span class=""ui_bubble_rating bubble_50""></span>",
Quick decision lunch,fculrich,42 reviews,"Reviewed October 7, 2016 ","Great location, super food, very nice, helpful and flexible staff. Good wines and excellent service. What more would you want?",Date of visit: October 2016,,"<span class=""ui_bubble_rating bubble_50""></span>",
"Go, if you love food",raysy,33 reviews,"Reviewed October 5, 2016 ","Dysfunctional website ... almost impossible to get a booking … no name on the premises … theatrical grunge décor… open kitchen … packed out.  Must be the 50th best restaurant in the world!
Just succeeded (four weeks in advance) in getting a lunch booking here...More",Date of visit: October 2016,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
"Go, if you love food",raysy,33 reviews,"Reviewed October 5, 2016 ","Dysfunctional website ... almost impossible to get a booking … no name on the premises … theatrical grunge décor… open kitchen … packed out.  Must be the 50th best restaurant in the world!
Just succeeded (four weeks in advance) in getting a lunch booking here...More",Date of visit: October 2016,1  ,,
"Fantastique food, disorganised service.",Hotketchup,84 reviews,"Reviewed September 27, 2016 ","We had an incredible tasting menu at this michelin starred restaurant.  I had called exactly 3 weeks in advance and was able to secure a coveted 8pm table.  I was called 1 and 2 days before to confirm that we were coming. So, we were...More",Date of visit: September 2016,3  ,,"<span class=""ui_bubble_rating bubble_40""></span>"
Favorite meal in Paris ,tabitravel123,7 reviews,"Reviewed September 19, 2016 ","Acting on the recommendation of a friend, we booked into Septime for lunch rather than dinner. The full lunch course included six-or-so impeccably presented and delicious seasonal dishes. The service was excellent yet unfussy, with explanations in English for the more unusual ingredients. The neighborhood...More",Date of visit: September 2016,2  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Septissimo,Noam J,252 reviews,"Reviewed September 10, 2016 ","The buzz is high, very hard to make reservation. 
Very busy during lunch but once you manage to order your lunch (not easy...) everything flows smoothly.
It's a modern bistro style place. Young oriented. The food is very good but not that creative.
We had...More",Date of visit: August 2016,2  ,"<span class=""ui_bubble_rating bubble_40""></span>",
"Amazing food & staff, worth the price (and still not so crazy), strongly recommended, a true culinary experience",Emmanuelle1983,68 reviews,"Reviewed September 8, 2016 ","One of my favorite restaurants in Paris.
Non pretentious while of great great quality, dishes are so flavorful and special/interesting/so creative.

The team is amazing, they know their products and dishes, are passionate and happy to explain and recommend to you, as well as make...More",Date of visit: October 2015,2  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Excellent ,mara_shiokshiok,78 reviews,"Reviewed September 3, 2016 ","Improvised lunch without booking. Very nice atmosphere, great service... And the food was very good, products were fresh, every detail well thought on the table. A good moment.",Date of visit: September 2016,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
"Beautiful, value, mouthwatering",lauradW6997HX,12 reviews,"Reviewed September 1, 2016 ",I was fully anxious about visiting a degustation restaurant after encountering transitional French food the night before. I'm not completely fussy however I don't eat anything that comes from the sea ( I gag so bad) and I eat only a handful of types of...More,Date of visit: September 2016,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Good food & creative but slightly overrated ,PKT207,326 reviews,"Reviewed August 24, 2016 ","Don't get me wrong. The food was creative and good but our expectations were sky high and they did not deliver. 

We had the 6 course tasting menu for lunch and were served prawns (amazing), eggplant (good), tuna belly (amazing), duck (average), 2 deserts (good)....More",Date of visit: August 2016,3  ,"<span class=""ui_bubble_rating bubble_40""></span>",
One of my favorite restaurants in Paris ,JTravellerSydLon,37 reviews,"Reviewed August 4, 2016 ","Creative, thoughtful and delicious Asian-French fusion. Now if it were only possible to get a table there without calling at exactly 10am three weeks in advance (and I do mean exactly...) :)",Date of visit: August 2016,2  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Fun!,claudiah647,64 reviews,"Reviewed July 25, 2016 ","Simple and humble, Septime really brings flavors out to dance with you! You have to embrace the unexpected because there is so much of it. It was a bit of of the way so I only went once, I suspect it would amuse me over...More",Date of visit: September 2015,2  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Fun!,claudiah647,64 reviews,"Reviewed July 25, 2016 ","Simple and humble, Septime really brings flavors out to dance with you! You have to embrace the unexpected because there is so much of it. It was a bit of of the way so I only went once, I suspect it would amuse me over...More",Date of visit: September 2015,2  ,,
No way,Trotteglober,282 reviews,"Reviewed July 23, 2016 ",I am not sure I understand how the rating works. How can this bistrot type of restaurant be in the top 50 best in the world (according to I do not know wha guide) this will remain a mistery for me. It's a very nice...More,Date of visit: July 2016,3  ,,"<span class=""ui_bubble_rating bubble_40""></span>"
Great Fun!,Jim P,254 reviews,"Reviewed July 16, 2016 ","So this is what one Michelin star looks like these days: bare walls and floors, rough wood tables, a breezy and helpful young staff who look like a high-school cooking club -- and a six-course tasting menu for 60 Euros per person at lunch (aperos...More",Date of visit: July 2016,3  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Creative and delicious,27Mathieu,28 reviews,"Reviewed July 15, 2016 ",The lunch tasting menu was excellent.  Traditional ingredients used in unexpected ways.  Great experience and great service.,Date of visit: July 2016,,"<span class=""ui_bubble_rating bubble_50""></span>",
Top-notch dining in Le Marais,markfT5463KJ,14 reviews,"Reviewed July 14, 2016 ",We booked reservations for lunch here several weeks in advance.  This restaurant more than earns its Michelin star - every course of our 6-course tasting menu was excellent.  We asked the sommelier (or at least the waiter we were directed to with our wine questions)...More,Date of visit: July 2016,,"<span class=""ui_bubble_rating bubble_50""></span>",
Best Meal We've Had,ecadams87,30 reviews,"Reviewed July 2, 2016 ","We snagged a lunch reservation here for the first day of our honeymoon -- and boy did it get the trip off on the right foot! Every course was simple and straightforward, with bold, interesting flavors. The ambiance of the restaurant is also relaxed and...More",Date of visit: June 2016,,"<span class=""ui_bubble_rating bubble_50""></span>",
Wonderful lunch in Paris!,Janet B,16 reviews,"Reviewed June 29, 2016 ","Visited Septime this past month. I made the reservation 3 weeks in advance, per suggestion, for lunch. I want to report there were empty tables available, however. You could take your chances but why? This was, by far, our best meal in Paris. My daughter...More",Date of visit: June 2016,1  ,"<span class=""ui_bubble_rating bubble_50""></span>",
Terrible night,cintra1978,1 review,"Reviewed June 23, 2016 ","I asked the concierge from my hotel in Paris two days ago to get a reservation for the Septime Restaurant, for this Thursday. I was taken aback when I got there and they said the concierge had lied to me since they are fully booked...More",Date of visit: June 2016,5  ,"<span class=""ui_bubble_rating bubble_10""></span>",
Worth the visit,dodo4u,85 reviews,"Reviewed June 20, 2016 ","Managed to find an opening online and booked it rightaway.

Easy to reach by metro and a 2 minute walk.

Friendly staff, casual and polite.

Tried the 6 course degustation lunch and each course was excellent except for the fish which lacked some flavor. Delicious...More",Date of visit: June 2016,,"<span class=""ui_bubble_rating bubble_50""></span>",
A meal that is of the highest quality and matching wines that really challenged our thinking,John T,73 reviews,"Reviewed June 15, 2016 ",We had the 7 course menu with matching wines and the meal was exquisite. The matching wines were excellent (not what I would normally have selected). The blend of ingredients and cooking styles created flavours and textures that were some of the best dishes I...More,Date of visit: June 2016,,"<span class=""ui_bubble_rating bubble_50""></span>",
A meal that is of the highest quality and matching wines that really challenged our thinking,John T,73 reviews,"Reviewed June 15, 2016 ",We had the 7 course menu with matching wines and the meal was exquisite. The matching wines were excellent (not what I would normally have selected). The blend of ingredients and cooking styles created flavours and textures that were some of the best dishes I...More,Date of visit: June 2016,,,
What a good table,pojack55,153 reviews,"Reviewed June 15, 2016 ","In this area of Paris there is so many tables... This one could be ranked as one of the top 3. It is a bit fashion for the ""bourgeois-boheme"" and sometimes a bit snoby... But within the plate it can be super extraordinary!! Organic top...More",Date of visit: October 2015,,,"<span class=""ui_bubble_rating bubble_50""></span>"
