rev_title,author,author_reviews,ratingdate,text,visitdate,likes,rating,weekday,month
"Cozy atmosphere,friendly service, good food",emilyv536,0,2018-04-08,"I had tried everyday to get a reservation at Septime during the 3 weeks leading up to our trip to Paris. We decided to see what would happen if we showed up at the opening of the restaurant to see if there were any last minute cancellations and were thrilled to be offered two seats at the bar that are normally reserved for friends of the chef. The atmosphere was very cozy and welcoming and I loved the decor. The bar staff and servers were very friendly and very knowledgeable. The six-course tasting menu was interesting and my husband opted for the wine pairing. The main meat course was pigeon, which wasn't exactly to either my husband or I's like, but we were happy to try something new. The smoked trout to start was excellent. Overall we had a very good experience, but not sure if we would pay the 80 euros per person to dine here again.",2018-03-01,1,4,Sunday,April
Underwhelmed,deirdres2018,0,2018-04-05,"I was overall disappointed and underwhelmed by the food I experienced at Septime. As a top 50 rated restaurant with a michelin star I expected dishes that were more inventive and flavorful. We did dine at lunch, but I was ensured that lunch was just as good as dinner when we were unable to get a dinner reservation. The price to quality of food ratio was too high in my opinion for the meal I had. I also was frustrated when I received cuttlefish. I had dined at Clamato the night before and had almost the exact same dish. I understand the two restaurants are connected, but I wanted a unique meal. We made a lot of effort to get a reservation and walked away disappointed. The best part of the meal was the unique wine pairing and the lovely service. I unfortunately do not plan to return or recommend as a most go to in Paris to friends.",2018-04-01,1,3,Thursday,April
Wonderful gourmet experience,jennyw3922016,0,2018-03-13,"The menu gastronomique is beautifully balanced, the food is creative without being fussy and the service is good. For me, the courses flowed from one to the next. Highlights were white asparagus with seaweed, pigeon with vegetables served to one side and the lightest possible pancake with apple,",2018-03-01,0,5,Tuesday,March
Recommend,moomickey,0,2018-03-12,"Managed to get a 7:30pm reservation for 2 people. The fixed menu is 80 Euro each for 8 courses and 55 Euro for the 8 glass wine pairing; which I highly recommend. You also have access to a full wine list if you don’t fancy the wine pairing.
The fixed menu was dynamic and surprising, with the hot dishes being the highlight while the wine pairing was definitely the best part: starting with sake and then a mix of wines, and a cider to go with one of the desserts.

The service was good and efficient and waitresses were mostly attentive.
An expensive visit that you won’t be able to do often but makes a very nice treat to see a more relaxed and tasty side of Paris.
",2018-03-01,0,4,Monday,March
A little place with great big tastes ,jond394,0,2018-02-24,"What an extravagance!
We four friends came to Paris to have dinner here so it was always going to be special
It’s so damned french !!
Great food served by excellent people in surroundings that are so comfortable and non invasive
Content over style
We had the paired wine menu which meant eight drinks with eight courses
I loved them all however my friends were more critical of the wine than the food
It’s one of those experiences that I will look back on with fondness for years to come
Great food with booze and my good friends and my partner
A no brainier
Loved it all
Thank you",2018-02-01,0,5,Saturday,February
Intresting,Cbt76,207,2018-02-19,"Nice restaurant with cozy,  clean interior.  Mostly friendly staff,  good food and interesting with e.  It's a great restaurant,  but we honestly didn't really understand the hype.",2018-02-01,0,4,Monday,February
Almost as good as Le Chateaubriant,Montparnasse71,0,2018-02-04,"I have to declare my bias (but not an 'interest'). I regard the other great tasting menu restaurant in the 11th (Le Chateaubriand) as the best and my favourite restaurant in Paris. Septime came very highly recommended however and we decided to give it a try. It was very good and my partner puts it ahead of Le Chateaubriand but I don't agree. All of the courses were very good but none were in my view memorable. I realise that I am perhaps judging it too harshly since it is a fine restaurant but give me its Avenue Paramentier rival any day for food, wine pairing and service. ",2017-09-01,1,5,Sunday,February
Worth the reservation hassle,Michella L,0,2018-01-28,"I wasn't able to get the dinner reservation and settled for the lunch reservation. I was blown away. The taste was innovative while still really good and enjoyable until the last bite. Due to the highly reasonable price of the menu, they understandably did not use 'wow-factor' ingredients. However they definitely make those ordinary ingredients into amazing dishes.

If you were deciding between Frenchie and Septime, I highly advise you to choose Septime. Despite it being such a well-known culinary destination in Paris, there were still a lot of French speaking tables while I was there, which is always a sign of a restaurant that hasn't yet sell out.",2018-01-01,1,5,Sunday,January
Superb!,Pat1970512,231,2018-01-24,There is not much to say. It is one of the best restaurants in Paris and very hip. We took the menue and it was worth it Simply de Ö,2018-01-01,1,5,Wednesday,January
Excellent in almost every way,wanderluster_rs,0,2018-01-08,"Firstly, get your phone on standby 21 days before the day you want to dine at Septime, because it is almost impossible to get a spot here. I set an alarm to call as soon as they opened the reservations up and the line was literally impossible to get through. I was lucky after 3 days of trying and managed to bag a spot for lunch. When I got there, the place was empty as other diners had not arrived but the place soon filled up and there were no available seats left. The decor is simple and rustic, which is one of the things I loved about Septime - its not pretentious and focuses on the most important elements of a food establishment like the food and service. Each of the courses were fantastic. Highlights for me were the eel wrapped in Foie gras, roasted chicken and the dessert with sabayon. The wine pairing had some great selections and each course was paired perfectly. By the end of the meal, I was highly impressed and walked out with a smile on my face as rarely does a place exceed the already high expectations I usually have.
My only complaint - I requested for a copy of the menu to be emailed to me which has not been done till now.
Otherwise a must try and would definitely head back on my next visit.",2017-12-01,3,5,Monday,January
Very special but limited menu,JosephTopTravel,0,2017-12-28,"We enjoyed our meal very much. Take under consideration a few things: it's a fixed menu, you choose the main dish from 2 options, if you don't like them so you have a problem, if you do you are lucky and enjoy the amazing food. Service is incredible. Location, go by metro or taxi.",2017-12-01,2,4,Thursday,December
Amazing experience! Off the beaten path....,petualang,0,2017-12-23,"It wasn't easy to get a table here as they don't accept email or online booking. They only take booking up to three weeks in advance. And you have to call directly. However, it was all so worth the experience. I love the casual ambiance. The food exquisitely delicious and very well executed. The staff was friendly, attentive and highly knowledgeable. It's rather off the beaten path. Highly recommended and I can't wait to return. The price was also quite reasonable for what you get.",2017-12-01,1,5,Saturday,December
What an experience!,jm16,0,2017-11-11,Not easy to get reservations. So happy we did. it was a great experience. The food was fantastic. The staff was so friendly and the wine pairing was perfect. Love the interior and you must take a look out the back where the washrooms are. Love the location too. Off the beating path.,2017-11-01,1,5,Saturday,November
Don't believe the hype,Laura S,0,2017-11-09,"It might have been an off day but we were not impressed. The menu was eh and the service was worse. I watch the kitchen staff break down the kitchen while I waited 40 mins for my desert. The wine pairing was also poured out of sync, like 10 mins before each dish arrived.

We were so excited to come here. It took me a year to get a reservation and I was terribly disappointed. At no point did my waitress even ask if we enjoyed our lunch...and clearly we did not. I expected more. We go to Clamato all the time and think that it is so much better. Do yourself a favor, skip Septime and go to their sister, Clamato. Service is nicer and food is tastier, imo.

We will not return. Sorry but you are out, Septime.",2017-09-01,3,3,Thursday,November
Superb Meal,Oaklandish3,0,2017-11-08,"Other than its reservation system which is super hard for anyone from abroad - why not let there be some seats for on-line reservations? Our connection in Paris actually had to go to the restaurant twice in order to get us a reservation. However, we were not disappointed. The room is casual and there is little of the pretense that you get in restaurants with more stars. Service as spot-on and the sommelier's wine recommendations were excellent. Every course was enjoyed by our entire group of 4 and we especially were enthralled with the scallops and the pre-dessert of mushroom panna cotta. AT 80E without wine, it isn't cheap but for the quality, creativity and generosity of the food, we felt it worth it and by 'fine dining' standards a bargain.",2017-10-01,1,5,Wednesday,November
Lunch; Four courses of Boredom. ,W3616OTchristianb,0,2017-10-10,"When I ate at Septime in 2015, I was amazed by the quality of the food, the inventive pairings and the simple beauty of the presentation. My visit this time left me completely cold. I couldn't say that it was bad and I'm not upset having spent my money there, but I really cannot understand why there should be a waiting list for tables. Two lacklustre starters, one roast bird that passes muster without leaving any great impression and a good, but uninspired dessert and I'm wondering where they found the star. Go to the sister restaurant Clamato next door and you will be much better served. ",2017-10-01,5,3,Tuesday,October
Just Wow!,Payam650,22,2017-10-04,This is one of those modern amazing restaurants that makes things so superbly that your mind is blown. I don't even like tuna but the waitress told me to try it and it was so great!,2017-09-01,0,5,Wednesday,October
Perfect evening,travel2299,99,2017-10-02,"The staff has been very welcoming and friendly, the atmosphere is very relaxed. The food is delicious, we had the wine pairing, which was a very interesting selection and both sommeliers have been very enthusiastic explaining the wines, which has been great fun.",2017-09-01,0,5,Monday,October
Wow...,TammyN125,0,2017-08-21,"One of our best meals in Paris. However, if you're looking for ""classic"" French onion soup, pate, baked brie, coq au vin, etc., this isn't for you. Each dish was artfully prepared with fresh, local ingredients that are also sustainable. Flavors were bright; wines were fantastic (all natural wines); staff lovely and explained each dish.",2017-07-01,2,5,Monday,August
Very good but not great,jledesma,98,2017-07-30,"We had lunch at Septime in Paris, with very high expectations because of very good reviews.  The tuna was very good, but the baby hen was a bit disappointing.  Dessert was great though.  Service was great and the staff was very friendly.  Could possibly return...",2017-07-01,2,4,Sunday,July
Glad I could try it!,amanda benton d,0,2017-07-26,"Scored a lunch reservation so I was happy to finally get to try Septime as everyone raves about it! The neighborhood is definitely off the beaten path and a very different part of Paris than I've had the chance to explore so it was neat to be somewhere different. The restaurant itself is very charming and beautiful and the lovely garden out back by the restrooms is gorgeous, they've really landed themselves a nice spot!

Since we did lunch we had the option of fish or protein so my husband and I both ordered one of each. Great price for a lunch course meal and still an element of surprise. I thought the food was definitely innovative and exciting, though we had just dined at Verjus and has a dish similar to the lobster rolled in cabbage there so it was something we had just seen. Although the lobster and sauce were fantastic here! The poultry, it wasn't chicken although they advertised it as chicken, was delectable, the skin nice and crispy. Definitely wonderful. The monk fish was good, but not great. I have a hard time thinking fish is the most fabulous because it's hard to take something so simple and reinvent the wheel by adding more flavors. Preferred the monk fish at Frenchie on the same trip. The salad was lovely and light and airy for a hot July day. The dessert, gosh, my husband didn't mind it but those pine needles.. they're so hard to eat! They don't process in your mouth very well so I understand the fragrance and artistry of them but they're not very delectable.

I'd definitely be curious to come back for dinner and try a larger menu. I thoroughly enjoyed my experience at Septime but on this particular trip, my mind was on how amazing the experience at Frenchie was.. Guess you shouldn't try all the places you want to try on one trip because you're bound to have favorites!! Just being honest about my experience.

I definitely liked Septime and would like to go back but it didn't stand out as my most memorable meal.",2017-07-01,0,4,Wednesday,July
"Refined cuisine, eclectic environment ",royc52,70,2017-07-25,"7 course degustacion menu with superb wine paring, concentrated on vegetables, light on fauna 
Service was attentive and faultless 
Decor wasn't distressed postmodern",2017-07-01,2,5,Tuesday,July
Dinner at Septime,LajlaKjohansen,22,2017-07-19,"Fantastisk middag, virkelig god mad og vin. Super service, dejligt at personalet kunne både dansk, engelsk og fransk ❤️ 
Amazing dinner, really good food and wine. Super service and really nice that the staff spoke both Danish, English, and French ❤️",2017-07-01,0,5,Wednesday,July
Great experience,Wilson L,0,2017-07-18,Highly anticipated visit. Didn't really disappoint. Every dish was delicious. They accomodated us to a nice table for 3 when 1 person in our party cancelled. Service was good. Lost count of how many dishes we had and ordered another bottle of wine right before desert...,2017-07-01,1,4,Tuesday,July
Perfect restaurant,996stephanev,176,2017-07-17,Been fighting for a table for 2 years but the waiting is really worth it. The food is really perfect. Will go again and again,2017-07-01,0,5,Monday,July
First class AND reasonably priced!,n8fire,0,2017-07-10,"No wonder it's hard to get a reservation at Septime. The food is fanstastic and you won't break the bank eating there. As a matter of fact we were only able to get a reservation for lunch. We were not disappointed.

At Septime you are quite far away from the pretentiousness of some of the top restaurant however the quality and creativity of what gets in your plate is not diminished at all. Our prix fixe lunch was simply spectacular!

Service was also excellent through the experience which is no small feat considering how inexpensive all things considered it was.

I seriously need to get a table for dinner next time I am in Paris!",2017-05-01,0,5,Monday,July
"Amazing, sublime, a reputation well deserved",100CountriesNow,0,2017-06-22,"I finally got a reservation at Septime, after poking around on the internet for the better part of two months. I invited some friends along. It was a hot day in Paris (35 degrees) and the restaurant has no air conditioning, but the food managed to rise above the heat and the hype. We had the fixed lunch menu (carte blanche) for 42 Euros. The first starter was a cooling entree - truffle mushrooms in soya, with many other little delicious things floating around in the sauce. The second starter was heavenly - I just remember the lobster, and the asparagus, but there was a whole bunch of other flavours in there. The main course was a choice between monk fish and guinea fowl - I went for the latter, which tasted great with the shallots, but this was the only course that I think could have been more exciting. Finally the dessert was a sorbet, with gin and almonds floating in a soup around it. It was heavenly - and for a moment one forgot the heat completely. We washed this all down with a St Emilion red against the recommedations of the the bartender given the heat - but we savoured every last drop of this as well. Septime has become an institution - and it is shocking that they manage to live up to the well deserved hype day in and day out. A must visit!",2017-06-01,0,5,Thursday,June
Amazing creativity ,BiboHH,14,2017-06-02,One of my favorite restaurant in Paris. The menu changes every day with excellent products. Amazing creativity and surgical precision. Only drawback: it's very hard to book a table.,2016-09-01,0,5,Friday,June
As always ,palatinohospitality,128,2017-06-02,The food was really innovative as always. Quite impressed by the consistency of the quality over the years. Staff remains nice and professional which is also impressive in Paris :). Good experience. But please improve the quality of the booking!!,2017-06-01,6,5,Friday,June
Not-so-simply great.,Bill R,0,2017-05-30,"the casual atmosphere hides just how complex and rewarding this restaurant is. This is my second visit here ( the first was two years ago) . The set menu on this particular evening was heavily vegetarian and always delicious and surprising. The pidgion was especially flavorsome and the matching wine was in perfect harmony. But that was true of all six courses. Are there anymore beautiful words than""For the first of your deserts...""
Go!",2017-05-01,1,5,Tuesday,May
First class restaurant,Ian_Stanton,0,2017-05-30,"This is a fabulous restaurant. My friends and I had the tasting menu which h was described to be inspired by seasonal ingredients. Every dish that was brought to us was described by the waiting staff, and accompanied by a matched wine. The food and wine were delicious and consisted of some very imaginative compositions, taste-wise and visually. The environment was very vibrant and the waiting staff were charming. The chef did an amazing job of making some alterations to handle a couple of allergies on our table - a very much appreciated touch. Definitely the best restaurant of my trip to Paris. ",2017-05-01,0,5,Tuesday,May
Still wonderful,rumtytum,0,2017-05-27,"This is our 3rd visit to Septime in 5 years and it's as good as ever, which is just about as good as it gets. Every dish was perfect in its way and every course followed the course before elegantly and logically. The service is marvellous, the sommelier helpful, never trying to sell the expensive option. If I was to recommend just one restaurant in Paris this would be it. No chandeliers, no lace tablecloths, no Piaf, just food that's cleverly conceived, perfectly balanced, nicely presented and very, very yummy. Thank you Septime. We'll be back. And back. And back.",2017-05-01,1,5,Saturday,May
Lovely Dinner ,blake166,0,2017-05-20,"Overall, highly recommend. We were told by our hotel that mostly Americans would be there, but we were pleasantly surprised to find it more of a local spot. If you don't speak French don't let that dissuade you as most of the staff speaks great English. The prix fixe menu is well thought out and wonderful fresh food. My only reason for not leaving 5 stars is because on two occasions my cocktail was taken before I was finished with it! Go to this restaurant and hang on to your drink.",2017-02-01,1,4,Saturday,May
Flavors you never knew would mix well together ,isableski,0,2017-05-17,"The experience at Septime is once- in-a-lifetime. We arrived at the earliest seating time which allowed us to enjoy the ambiance. We then had some appertifs, the daily infused water (which is highly recommended if you take the metro to the restaurant on a warm day). Then we began receiving the many courses and wine pairings. All were incredible, to say the least. But the takeaway is that the chef plays with vegetables and fruits and mixes with unexpected flavors. The meal was one of our best in Paris and highly recommended!

Tip: get the wine pairing, I doubt I will ever get a wine pairing as good as this one!",2017-05-01,0,5,Wednesday,May
A Very Different Dining Experience at one of Paris Hot Spots,phd2,0,2017-03-28,"Firstly if you're thinking of visiting Septime make sure you book well in advance. You still may not get in as this is incredibly popular - out of the way, in a small space and not that easy to get to.

With its Michelin Star and excellent service the only thing you really have to know is that the menu is set, there isn't a choice, and you'd best not go if you're famished. Each dish is beautifully presented but very small. And although there are quite a few there is not that much protein as Septime specialises in vegetable dishes.

The only things that disappointed were the desserts both of which looked similar. But overall it was very good indeed. Well worth a visit, just to try something different from all the played about food you can find in Paris.",2017-03-01,1,4,Tuesday,March
Not an usual starry,SaraIRIT91,35,2017-03-03,"I had an excellent time with my boyfriend during our Paris journey, we ate prearranged menu, 80€ per person, with 5 dishes. we were served by and italian somelier and we were so lucky. I really reccomend.",2017-02-01,0,4,Friday,March
A dining experience,BremenCologne,0,2017-02-03,"This place is so popular we booked 2 months in advance for the Michelin Star restaurant and enjoyed a very pleasant evening with French friends.
We had the degustation menu consisting of 6 courses that provided a real variety of tastes,all being excellent.
The wine selection was superb and we enjoyed 3 very good wines, from the Loire (sauvignon blanc) one from the Languedoc region (chardonnay) and robust Spanish wine ""Cojon De Gato""
We found the staff extremely friendly and helpful, providing excellent introductions to each course in both French and English.
Although one of our more expensive evenings out in Paris this time the whole experience made it well worth while.
We would recommend it and hope to visit next time we are in Paris",2017-01-01,1,5,Friday,February
"Lovely dinner, extremely hard to get a reservation",465villel,0,2017-01-30,I would say the whole dinner was a great experience. Interesting and new tastes but still simple enough. Wine set was extremely good and complimented the food really well. We ordered one wine set to share for two persons since it was quite a lot to drink. It would have been nice if they could have offered it in two glasses even if for a small extra fee. Now we got one glass and had to share the glass. Some oysters in one dish weren't good but this flaw was quickly repaired by replacing the dish with another with grilled clams.,2016-12-01,0,5,Monday,January
Excellent!!,Pat1970512,231,2017-01-21,We enojed it very much. The menue was just stunning and so was the service. It is very popular place in Paris at the moment. The delicious food and great wines and the faboulos atmosphere was just special. Will return soon!,2017-01-01,0,5,Saturday,January
Glad I've made it! Incredible food!,Fkest,0,2017-01-21,"Septime is an exquisite Michelin-starred restaurant in the heart of 11th district (Rue de Charonne) that serves fantastic french-driven bites. They prepare a different menu from time to time; I went for lunch and refuted the degustation alternative. Instead, I've chosen a three-course menu: (i) Héliantis rôti, pralin anchous et colatura (tasted like artichokes, and it was wondrous); (ii) Merlan de Ligne, beurre blanc au savagnin (best fish I had in Paris); and (iii) Fromages de la maison Quatrehomme (couldn't be better). Along with my food, I've asked for a natural red wine pairing and it was incredible. As all reviewers pointed out, it's not easy to get a table. But for sure it's worth trying! A very special thanks to Alessia!",2017-01-01,1,5,Saturday,January
Amazing,davyc71,0,2016-12-29,"Our hotel concierge helped us get this reservation, which I had heard was otherwise difficult to get. I had walked into this restaurant not knowing much about it other than from rave recommendations from friends. I walked out thinking that this is one of the best restaurants I had ever eaten at in terms of cuisine. Innovative dishes, creative pairings of ingredients, and just such refinement in its combination of texture and flavors. There is no shortage of pictures and more specific descriptions of the cuisine from other posters, so I will not be redundant.

Service was generally efficient and not-unfriendly. I think being able to speak French would have helped us better understand the descriptions of the dishes.

If you have the opportunity to dine here, do it. It's a gastronomic treat.",2016-03-01,0,5,Thursday,December
difficult to reserve but was it worth it?,dennisgm,0,2016-12-14,"I researched, reviewed the various blogs and reviews and of course the web site of Septime; called and e mailed several times from 2 trips to paris and back and on the 3rd try, after 5 telephone calls, I was able to get a reservation for 2.

now the dinner itself which was on a rainy evening, was pleasant enough, staff was very attentive and the food, a set menu, it was creatively done, the venison was quite good but i have to ask myself, was the effort in getting in this restaurant worth it? almost worth the effort, food was good but not great but we certainly savored the fact that we were able to dine in this restaurant.",2016-11-01,2,4,Wednesday,December
"Great lunch, attentive service",PermanentNomad,0,2016-11-17,"As I arrived after 2 pm only the 3 course set menu was available. The food was delicious. The ingredients in each dish were very fresh, the presentation was beautiful and the food was very tasty. The staff was friendly and checked to see that I enjoyed each dish. Would definitely go back when in Paris.",2016-10-01,0,4,Thursday,November
Excellent food!,laurencx2020,62,2016-11-11,"Nice service and excellent meals taking in account food allergies.

Very Cosy and authentic place and the price worth it!

Not easy to book for a table...",2016-03-01,0,5,Friday,November
Overhyped,RVAEgghead,0,2016-10-26,"My wife and I went to Septime for lunch while on vacation in Paris. The decor is farm to table and is nice. We had the price fix menu, which was 3 courses and 32 euro per person. The staff was polite and spoke English. The food was underwhelming. The pork belly tasted like regular deli to me. I don't think American palates are made for this place. I am an adventurous eater, but found the dishes either bland or too barn tasting.

Also, they do not accept American Express. The wine was good.",2016-10-01,2,3,Wednesday,October
Lives right up to its reputation,zana414,0,2016-10-19,"Since reservations are awfully hard to come by, you might end up there for lunch. Don't be afraid to go for the tasting menu (a great value at 60 Euros) even if it feels like an indulgence at noon. Delightful small plates, well presented and impeccably cooked will arrive at your table. (We got beautifully executed veal sweetbreads and tuna for our mains). The double dessert was nothing like i have tasted before. Service is excellent too (ingredients explained in english or french for the surprise/tasting menu). Excellent selection of wines. (We were directed towards a bottle of white, given the dishes on offer on the day, and steered off the wine pairings, which I think was interesting). Charming interior. Do not resist the hype!",2016-10-01,2,5,Wednesday,October
Nice staff and good food,Cecilie Ø,1,2016-10-15,Really nice restaurant with superb food. Starters were amazing. The wine package was an excellent match!,2016-10-01,0,4,Saturday,October
Wonderful lunch,Travelgirl2020,0,2016-10-12,Had a nice lunch on a showery day in Paris. The tables are big and set a good distance apart. The service is casual but professional. Limited items on menu meant that the kitchen could really focus and these where the best ingredients that day. But limited choices may be an issue for some. Excellent wine list.,2016-06-01,0,5,Wednesday,October
Quick decision lunch,fculrich,42,2016-10-07,"Great location, super food, very nice, helpful and flexible staff. Good wines and excellent service. What more would you want?",2016-10-01,0,5,Friday,October
"Go, if you love food",raysy,0,2016-10-05,"Dysfunctional website ... almost impossible to get a booking … no name on the premises … theatrical grunge décor… open kitchen … packed out. Must be the 50th best restaurant in the world!
Just succeeded (four weeks in advance) in getting a lunch booking here when visiting Paris for a quick fix of Bastille Opera (medium rare Tosca).
Loved the place from the start. All staff highly professional, personable, competent and uber-cool. Spoke French when we wanted and English when we needed.
Had the six course tasting lunch (great value at €60). Surprise menu - so no point describing plates in detail. However, must mention beautifully cooked and presented John Dory (plum and vinegar sauce); veal sweetbreads (with amazing mussel sauce). Uncomplicated cooking with genius and original combinations of ingredients. Startlingly good mixes of tastes dished up with impeccable cool.
One tiny tiny quibble were the two dessert dishes … these followed the current trend in many “star” restaurants of being assemblages rather than cooked/baked desserts. They were good - raspberry /rhubarb and a new take on Ile Flottante, but if Septime produced desserts to the equivalent relative quality of their four savoury plates then who knows how they would be rated in the culinary firmament.
Excellent support/ help with the wine, and a tiny quibble with the bill was more than compensated for in a most gracious manner.
Amazing value at €200 for two … an exceptional experience from a team led by the scarily young but very original Bertrand Grebaut makes it good to be alive..
Go if you love food.",2016-10-01,1,5,Wednesday,October
Favorite meal in Paris ,tabitravel123,0,2016-09-19,"Acting on the recommendation of a friend, we booked into Septime for lunch rather than dinner. The full lunch course included six-or-so impeccably presented and delicious seasonal dishes. The service was excellent yet unfussy, with explanations in English for the more unusual ingredients. The neighborhood is an excellent one for post-lunch wanderings (try the crowded little antique shop next door). All the rave reviews are deserved and we only wished we lived nearby so that this could be in regular rotation. ",2016-09-01,2,5,Monday,September
Septissimo,Noam J,0,2016-09-10,"The buzz is high, very hard to make reservation.
Very busy during lunch but once you manage to order your lunch (not easy...) everything flows smoothly.
It's a modern bistro style place. Young oriented. The food is very good but not that creative.
We had salad and fish and a really great cake, ice cream and fig and apricot compot which was amazing.
The lunch fix price menu is either €30 or €60 (3 or six courses) which is very good value.",2016-08-01,2,4,Saturday,September
"Amazing food & staff, worth the price (and still not so crazy), strongly recommended, a true culinary experience",Emmanuelle1983,0,2016-09-08,"One of my favorite restaurants in Paris.
Non pretentious while of great great quality, dishes are so flavorful and special/interesting/so creative.

The team is amazing, they know their products and dishes, are passionate and happy to explain and recommend to you, as well as make you sample if it's not too busy.

Strongly recommended and located in one of the nicest areas of Paris.",2015-10-01,2,5,Thursday,September
Excellent ,mara_shiokshiok,78,2016-09-03,"Improvised lunch without booking. Very nice atmosphere, great service... And the food was very good, products were fresh, every detail well thought on the table. A good moment.",2016-09-01,1,5,Saturday,September
"Beautiful, value, mouthwatering",lauradW6997HX,0,2016-09-01,"I was fully anxious about visiting a degustation restaurant after encountering transitional French food the night before. I'm not completely fussy however I don't eat anything that comes from the sea ( I gag so bad) and I eat only a handful of types of meat.

Septum was so accommodating allowed me to have just vegetarian which was so delicious and flavoursome I didn't even feel jealous when I saw meats I like come out to my dining companions.

70 for the degustation plus 55 for matching wines

Do not hesitate to get the matching wines!!
I'm not massively into drinking vino but these wines would convert any non believer!

Book in advance like weeks in advance and u won't be disappointed",2016-09-01,1,5,Thursday,September
Good food & creative but slightly overrated ,PKT207,0,2016-08-24,"Don't get me wrong. The food was creative and good but our expectations were sky high and they did not deliver.

We had the 6 course tasting menu for lunch and were served prawns (amazing), eggplant (good), tuna belly (amazing), duck (average), 2 deserts (good).

It is worth a trip and not that expensive. Good meal but not worth the top 50 restaurants of the world As CNN predicts. I can count 10 better ones just in Paris :)",2016-08-01,3,4,Wednesday,August
One of my favorite restaurants in Paris ,JTravellerSydLon,37,2016-08-04,"Creative, thoughtful and delicious Asian-French fusion. Now if it were only possible to get a table there without calling at exactly 10am three weeks in advance (and I do mean exactly...) :)",2016-08-01,2,5,Thursday,August
Fun!,claudiah647,0,2016-07-25,"Simple and humble, Septime really brings flavors out to dance with you! You have to embrace the unexpected because there is so much of it. It was a bit of of the way so I only went once, I suspect it would amuse me over and over again. I keep thinking of the hay ice cream - just crazy! Brilliant execution all around! ",2015-09-01,2,5,Monday,July
Great Fun!,Jim P,0,2016-07-16,"So this is what one Michelin star looks like these days: bare walls and floors, rough wood tables, a breezy and helpful young staff who look like a high-school cooking club -- and a six-course tasting menu for 60 Euros per person at lunch (aperos and two obscure and tasty wines included) that was worth every centime.
I'm usually skeptical of menus, from which you come away over-fed and stuffed. Here the portions are well-managed, and they avoid a lot of the extras that create an illusion of impressive complexity.
Five years on, and -- unless you get lucky on a drop-in -- you still need to struggle through a needlessly complex reservation process. I snuck in at the wire to book four of us for lunch, and we had a thoroughly delightful time.
Pointless to recount the menu details -- it changes all the time. Leave your old-school expectations behind, go prepared to relax, and enjoy!",2016-07-01,3,5,Saturday,July
Creative and delicious,27Mathieu,28,2016-07-15,The lunch tasting menu was excellent.  Traditional ingredients used in unexpected ways.  Great experience and great service.,2016-07-01,0,5,Friday,July
Top-notch dining in Le Marais,markfT5463KJ,0,2016-07-14,"We booked reservations for lunch here several weeks in advance. This restaurant more than earns its Michelin star - every course of our 6-course tasting menu was excellent. We asked the sommelier (or at least the waiter we were directed to with our wine questions) for a recommendation to pair with the food since we didn't know what food would be coming out - he steered us to a mid-priced red Burgundy that was possibly the best bottle of wine we had during our two-week trip, and it went beautifully with almost all the dishes. The food was traditional but playful - the beef carpaccio came out with a raw egg yolk underneath, which I've seen with tartare but not with carpaccio, and it also had little nuggets of tart fruit strewn among the beef, which went deliciously with the fat in the meat and egg. The atmosphere was casual but elegant, and the waitstaff were all very attentive and friendly. I'd definitely recommend this place for anyone looking for fine dining in a laid-back setting. ",2016-07-01,0,5,Thursday,July
Best Meal We've Had,ecadams87,0,2016-07-02,"We snagged a lunch reservation here for the first day of our honeymoon -- and boy did it get the trip off on the right foot! Every course was simple and straightforward, with bold, interesting flavors. The ambiance of the restaurant is also relaxed and straightforward: while the food was some of the best we've ever eaten, it felt so effortless -- a far cry from other stuffy Parisian restaurants who seem to scream at the top of their lungs how hard they are working to craft this experience for you. If I could, I would eat at Septime every day and I don't think I would ever get bored.",2016-06-01,0,5,Saturday,July
Wonderful lunch in Paris!,Janet B,0,2016-06-29,"Visited Septime this past month. I made the reservation 3 weeks in advance, per suggestion, for lunch. I want to report there were empty tables available, however. You could take your chances but why? This was, by far, our best meal in Paris. My daughter and I had the three course lunch and it was delicious and a perfect amount of food. Flavors were fun and perfectly designed. If I went again, I would have the wine pairing. The only downside was that we had a number of different wait staff(all very nice) throughout our hour and a half and they were quite busy getting ready for dinner. So a little lacking in attention, which I get because it's lunchtime. Maybe dinner provides more consistent service. If you get the chance to visit Paris, visit Septime. ",2016-06-01,1,5,Wednesday,June
Terrible night,cintra1978,0,2016-06-23,"I asked the concierge from my hotel in Paris two days ago to get a reservation for the Septime Restaurant, for this Thursday. I was taken aback when I got there and they said the concierge had lied to me since they are fully booked for the next two months and they could not have made the reservation. Later on they found out the reservation had been made on my surname, slightly different though, for two days before. It is weird to think that a restaurant which boasts of being so busy was able to make a last minute reservation for the same day even though I meant it for two days later. The whole time they put the blame on us and the hotel for the wrong booking. The restaurant staff was very arrogant and clearly not organized at all - not to mention beginners. We left the place very frustrated but at the same time relieved - the place didn't seem pleasant, very hot and the atmosphere seemed quite down, with few tables occupied.
We went to Joel Rebouchon from there and even though we had no reservation they treated us lovely and in a professional way - just how it should be. Septime never again",2016-06-01,5,1,Thursday,June
